station_name,datetime,FDOM_QSU,Conductivity_mS_m,pH,Temp_C,Turbidity_NTU
Malselva - loggestasjon,2018-07-30T23:00:00Z,8.01,6.449,7.33,18.15,2.46
Malselva - loggestasjon,2018-07-31T00:00:00Z,8.06,6.483,7.32,18.12,2.44
Malselva - loggestasjon,2018-07-31T01:00:00Z,8.16,6.566,7.31,18.1,3.08
Malselva - loggestasjon,2018-07-31T02:00:00Z,8.11,6.684,7.3,18.07,2.62
Malselva - loggestasjon,2018-07-31T03:00:00Z,7.619,6.798,7.26,18.02,2.27
Malselva - loggestasjon,2018-07-31T04:00:00Z,8.11,6.875,7.25,17.97,2.81
Malselva - loggestasjon,2018-07-31T05:00:00Z,8.3,6.917,7.26,17.94,2.03
Malselva - loggestasjon,2018-07-31T06:00:00Z,8.01,6.911,7.29,17.95,2.7
Malselva - loggestasjon,2018-07-31T07:00:00Z,8.25,6.876,7.3,18.07,2.54
Malselva - loggestasjon,2018-07-31T08:00:00Z,7.473,6.816,7.36,18.2,2.38
Malselva - loggestasjon,2018-07-31T09:00:00Z,7.521,6.739,7.4,18.33,2.61
Malselva - loggestasjon,2018-07-31T10:00:00Z,7.326,6.678,7.46,18.59,2.4
Malselva - loggestasjon,2018-07-31T11:00:00Z,7.619,6.591,7.5,18.84,3.15
Malselva - loggestasjon,2018-07-31T12:00:00Z,7.131,6.536,7.56,19.02,2.13
Malselva - loggestasjon,2018-07-31T13:00:00Z,7.326,6.504,7.59,19.25,2.4
Malselva - loggestasjon,2018-07-31T14:00:00Z,7.326,6.448,7.59,19.38,1.63
Malselva - loggestasjon,2018-07-31T15:00:00Z,6.935,6.391,7.58,19.54,1.96
Malselva - loggestasjon,2018-07-31T16:00:00Z,6.642,6.322,7.56,19.63,2.11
Malselva - loggestasjon,2018-07-31T17:00:00Z,7.326,6.255,7.5,19.58,2.04
Malselva - loggestasjon,2018-07-31T18:00:00Z,7.326,6.236,7.46,19.51,2.17
Malselva - loggestasjon,2018-07-31T19:00:00Z,7.375,6.2,7.42,19.42,2.06
Malselva - loggestasjon,2018-07-31T20:00:00Z,6.935,6.152,7.38,19.29,2.93
Malselva - loggestasjon,2018-07-31T21:00:00Z,7.668,6.083,7.35,19.15,2.92
Malselva - loggestasjon,2018-07-31T22:00:00Z,6.886,6.041,7.31,19,2.73
Malselva - loggestasjon,2018-07-31T23:00:00Z,7.375,6.071,7.28,18.9,3.41
Malselva - loggestasjon,2018-08-01T00:00:00Z,7.473,6.114,7.26,18.82,3.35
Malselva - loggestasjon,2018-08-01T01:00:00Z,6.984,6.172,7.24,18.75,2.54
Malselva - loggestasjon,2018-08-01T02:00:00Z,7.57,6.231,7.23,18.68,2.19
Malselva - loggestasjon,2018-08-01T03:00:00Z,7.424,6.283,7.22,18.63,2.97
Malselva - loggestasjon,2018-08-01T04:00:00Z,6.935,6.329,NA,18.61,2.37
Malselva - loggestasjon,2018-08-01T05:00:00Z,7.326,6.343,NA,18.62,2.85
Malselva - loggestasjon,2018-08-01T06:00:00Z,6.789,6.36,NA,18.69,2.5
Malselva - loggestasjon,2018-08-01T07:00:00Z,6.984,6.347,7.21,18.79,3.01
Malselva - loggestasjon,2018-08-01T08:00:00Z,7.228,6.322,7.25,18.94,2.71
Malselva - loggestasjon,2018-08-01T09:00:00Z,7.082,6.295,7.31,19.17,2.7
Malselva - loggestasjon,2018-08-01T10:00:00Z,7.082,6.298,7.37,19.26,2.23
Malselva - loggestasjon,2018-08-01T11:00:00Z,6.886,6.279,7.42,19.48,2.53
Malselva - loggestasjon,2018-08-01T12:00:00Z,6.496,6.272,7.48,19.69,2.51
Malselva - loggestasjon,2018-08-01T13:00:00Z,6.203,6.297,7.52,19.77,3.08
Malselva - loggestasjon,2018-08-01T14:00:00Z,6.447,6.285,7.5,19.82,2.8
Malselva - loggestasjon,2018-08-01T15:00:00Z,NA,6.295,7.44,19.78,5.39
Malselva - loggestasjon,2018-08-01T16:00:00Z,6.545,6.278,7.41,19.7,3.4
Malselva - loggestasjon,2018-08-01T17:00:00Z,6.007,6.289,7.31,19.6,5.41
Malselva - loggestasjon,2018-08-01T18:00:00Z,6.545,6.27,7.27,19.49,2.41
Malselva - loggestasjon,2018-08-01T19:00:00Z,6.642,6.281,7.26,19.45,3.79
Malselva - loggestasjon,2018-08-01T20:00:00Z,6.691,6.3,7.24,19.41,3.81
Malselva - loggestasjon,2018-08-01T21:00:00Z,7.131,6.298,7.23,19.37,3.23
Malselva - loggestasjon,2018-08-01T22:00:00Z,6.984,6.253,7.2,19.3,3.28
Malselva - loggestasjon,2018-08-01T23:00:00Z,6.935,6.244,7.2,19.28,3.29
Malselva - loggestasjon,2018-08-02T00:00:00Z,7.033,6.291,NA,19.24,3.66
Malselva - loggestasjon,2018-08-02T01:00:00Z,6.886,6.299,NA,19.19,3.27
Malselva - loggestasjon,2018-08-02T02:00:00Z,7.228,6.322,NA,19.12,2.35
Malselva - loggestasjon,2018-08-02T03:00:00Z,7.473,6.318,NA,19.05,3.27
Malselva - loggestasjon,2018-08-02T04:00:00Z,7.228,6.329,NA,18.99,2.85
Malselva - loggestasjon,2018-08-02T05:00:00Z,7.033,6.341,NA,18.95,4.33
Malselva - loggestasjon,2018-08-02T06:00:00Z,7.717,6.355,NA,18.94,4.64
Malselva - loggestasjon,2018-08-02T07:00:00Z,7.473,6.382,NA,19.01,4.77
Malselva - loggestasjon,2018-08-02T08:00:00Z,7.717,6.367,NA,19.05,4.38
Malselva - loggestasjon,2018-08-02T09:00:00Z,7.619,6.354,7.21,19.15,4.01
Malselva - loggestasjon,2018-08-02T10:00:00Z,7.277,6.356,7.24,19.16,4.53
Malselva - loggestasjon,2018-08-02T11:00:00Z,7.375,6.362,7.29,19.24,4.21
Malselva - loggestasjon,2018-08-02T12:00:00Z,7.082,6.318,7.33,19.27,5.45
Malselva - loggestasjon,2018-08-02T13:00:00Z,7.473,6.319,7.36,19.24,2.85
Malselva - loggestasjon,2018-08-02T14:00:00Z,7.717,6.331,7.39,19.32,3.51
Malselva - loggestasjon,2018-08-02T15:00:00Z,7.619,6.353,7.43,19.32,2.61
Malselva - loggestasjon,2018-08-02T16:00:00Z,7.814,6.366,7.48,19.36,3.29
Malselva - loggestasjon,2018-08-02T17:00:00Z,7.521,6.382,7.46,19.31,2.69
Malselva - loggestasjon,2018-08-02T18:00:00Z,7.424,6.384,7.42,19.23,3.02
Malselva - loggestasjon,2018-08-02T19:00:00Z,7.912,6.41,7.4,19.12,2.49
Malselva - loggestasjon,2018-08-02T20:00:00Z,7.912,6.393,7.37,18.95,2.66
Malselva - loggestasjon,2018-08-02T21:00:00Z,7.766,6.37,7.34,18.78,3.37
Malselva - loggestasjon,2018-08-02T22:00:00Z,8.21,6.365,7.31,18.62,4.37
Malselva - loggestasjon,2018-08-02T23:00:00Z,7.961,6.346,7.29,18.45,4.46
Malselva - loggestasjon,2018-08-03T00:00:00Z,8.25,6.351,7.27,18.3,2.94
Malselva - loggestasjon,2018-08-03T01:00:00Z,8.21,6.327,7.25,18.16,9.98
Malselva - loggestasjon,2018-08-03T02:00:00Z,8.84,6.338,7.24,18.03,3.46
Malselva - loggestasjon,2018-08-03T03:00:00Z,9.28,6.355,7.23,17.94,4.85
Malselva - loggestasjon,2018-08-03T04:00:00Z,9.33,6.39,7.22,17.86,3.05
Malselva - loggestasjon,2018-08-03T05:00:00Z,8.99,6.436,7.19,17.8,2.99
Malselva - loggestasjon,2018-08-03T06:00:00Z,8.79,6.475,7.19,17.77,3.35
Malselva - loggestasjon,2018-08-03T07:00:00Z,8.6,6.517,7.2,17.71,3.95
Malselva - loggestasjon,2018-08-03T08:00:00Z,8.64,6.559,7.21,17.64,7.37
Malselva - loggestasjon,2018-08-03T09:00:00Z,7.717,6.607,7.23,17.63,8.48
Malselva - loggestasjon,2018-08-03T10:00:00Z,6.545,6.646,7.23,17.62,19.22
Malselva - loggestasjon,2018-08-03T11:00:00Z,5.812,6.642,7.23,17.64,19.78
Malselva - loggestasjon,2018-08-03T12:00:00Z,5.91,6.612,7.23,17.59,22.22
Malselva - loggestasjon,2018-08-03T13:00:00Z,5.226,6.564,7.22,17.56,30.11
Malselva - loggestasjon,2018-08-03T14:00:00Z,5.47,6.513,7.22,17.52,32.82
Malselva - loggestasjon,2018-08-03T15:00:00Z,6.398,6.459,7.22,17.47,26.43
Malselva - loggestasjon,2018-08-03T16:00:00Z,7.277,6.368,7.25,17.39,9.22
Malselva - loggestasjon,2018-08-03T17:00:00Z,7.033,6.323,7.28,17.3,11.05
Malselva - loggestasjon,2018-08-03T18:00:00Z,7.277,6.328,7.28,17.19,13.05
Malselva - loggestasjon,2018-08-03T19:00:00Z,7.57,6.314,7.28,17.1,7.08
Malselva - loggestasjon,2018-08-03T20:00:00Z,7.912,6.311,7.29,17.02,5.45
Malselva - loggestasjon,2018-08-03T21:00:00Z,8.11,6.292,7.3,16.9,4.53
Malselva - loggestasjon,2018-08-03T22:00:00Z,8.5,6.311,7.29,16.72,5.19
Malselva - loggestasjon,2018-08-03T23:00:00Z,8.25,6.334,7.3,16.58,4.23
Malselva - loggestasjon,2018-08-04T00:00:00Z,8.69,6.38,7.3,16.45,3.29
Malselva - loggestasjon,2018-08-04T01:00:00Z,8.69,6.39,7.29,16.34,3.85
Malselva - loggestasjon,2018-08-04T02:00:00Z,9.04,6.421,7.29,16.24,4.53
Malselva - loggestasjon,2018-08-04T03:00:00Z,9.23,6.434,7.28,16.14,3.38
Malselva - loggestasjon,2018-08-04T04:00:00Z,9.04,6.458,7.27,16.08,2.78
Malselva - loggestasjon,2018-08-04T05:00:00Z,8.45,6.518,7.26,16.01,3.95
Malselva - loggestasjon,2018-08-04T06:00:00Z,8.6,6.532,7.24,15.96,3.19
Malselva - loggestasjon,2018-08-04T07:00:00Z,8.74,6.555,7.24,15.94,4.12
Malselva - loggestasjon,2018-08-04T08:00:00Z,8.5,6.599,7.26,15.91,4.46
Malselva - loggestasjon,2018-08-04T09:00:00Z,8.11,6.615,7.28,15.91,3.56
Malselva - loggestasjon,2018-08-04T10:00:00Z,7.375,6.139,7.3,15.95,3.8
Malselva - loggestasjon,2018-08-04T11:00:00Z,8.45,6.633,7.31,15.93,2.67
Malselva - loggestasjon,2018-08-04T12:00:00Z,7.619,6.616,7.32,15.94,6.15
Malselva - loggestasjon,2018-08-04T13:00:00Z,8.4,6.628,7.33,16.01,4.62
Malselva - loggestasjon,2018-08-04T14:00:00Z,8.4,6.593,7.36,16.11,3.18
Malselva - loggestasjon,2018-08-04T15:00:00Z,8.35,6.574,7.35,16.18,5.19
Malselva - loggestasjon,2018-08-04T16:00:00Z,6.935,6.534,7.33,16.26,3.69
Malselva - loggestasjon,2018-08-04T17:00:00Z,8.06,6.498,7.32,16.25,4.23
Malselva - loggestasjon,2018-08-04T18:00:00Z,8.21,6.463,7.3,16.09,4.46
Malselva - loggestasjon,2018-08-04T19:00:00Z,8.64,6.444,7.3,15.93,3.95
Malselva - loggestasjon,2018-08-04T20:00:00Z,8.55,6.453,7.3,15.81,2.82
Malselva - loggestasjon,2018-08-04T21:00:00Z,7.912,6.433,7.3,15.67,6.51
Malselva - loggestasjon,2018-08-04T22:00:00Z,7.961,6.439,7.29,15.55,5.14
Malselva - loggestasjon,2018-08-04T23:00:00Z,8.69,6.428,7.29,15.41,3.4
Malselva - loggestasjon,2018-08-05T00:00:00Z,9.47,6.447,7.29,15.28,2.72
Malselva - loggestasjon,2018-08-05T01:00:00Z,9.82,6.472,7.3,15.2,3.54
Malselva - loggestasjon,2018-08-05T02:00:00Z,9.72,6.503,7.3,15.14,4.08
Malselva - loggestasjon,2018-08-05T03:00:00Z,9.13,6.528,7.31,15.08,2.76
Malselva - loggestasjon,2018-08-05T04:00:00Z,8.55,6.536,7.32,15.05,2.3
Malselva - loggestasjon,2018-08-05T05:00:00Z,9.08,6.559,7.33,15.03,2.3
Malselva - loggestasjon,2018-08-05T06:00:00Z,9.87,6.559,7.34,15.06,2.97
Malselva - loggestasjon,2018-08-05T07:00:00Z,8.55,6.57,7.36,15.06,1.91
Malselva - loggestasjon,2018-08-05T08:00:00Z,9.43,6.611,7.39,15.15,2.39
Malselva - loggestasjon,2018-08-05T09:00:00Z,9.33,6.651,7.4,15.24,1.89
Malselva - loggestasjon,2018-08-05T10:00:00Z,9.77,6.68,7.42,15.32,3.03
Malselva - loggestasjon,2018-08-05T11:00:00Z,9.82,6.698,7.45,15.4,2.89
Malselva - loggestasjon,2018-08-05T12:00:00Z,9.57,6.704,7.47,15.52,2.77
Malselva - loggestasjon,2018-08-05T13:00:00Z,8.21,6.722,7.47,15.48,2.86
Malselva - loggestasjon,2018-08-05T14:00:00Z,9.13,6.678,7.5,15.47,2.7
Malselva - loggestasjon,2018-08-05T15:00:00Z,9.18,6.65,7.52,15.54,3.05
Malselva - loggestasjon,2018-08-05T16:00:00Z,8.94,6.62,7.52,15.64,3.05
Malselva - loggestasjon,2018-08-05T17:00:00Z,8.21,6.607,7.54,15.71,2.3
Malselva - loggestasjon,2018-08-05T18:00:00Z,7.424,6.58,7.54,15.71,2.77
Malselva - loggestasjon,2018-08-05T19:00:00Z,8.89,6.563,7.53,15.62,2.1
Malselva - loggestasjon,2018-08-05T20:00:00Z,8.11,6.562,7.49,15.5,2.52
Malselva - loggestasjon,2018-08-05T21:00:00Z,9.47,6.568,7.45,15.35,2.22
Malselva - loggestasjon,2018-08-05T22:00:00Z,8.79,6.549,7.42,15.21,2.56
Malselva - loggestasjon,2018-08-05T23:00:00Z,9.38,6.537,7.39,15.06,2.31
Malselva - loggestasjon,2018-08-06T00:00:00Z,9.87,6.483,7.36,14.96,2.24
Malselva - loggestasjon,2018-08-06T01:00:00Z,10.06,6.46,7.35,14.86,2.19
Malselva - loggestasjon,2018-08-06T02:00:00Z,9.67,6.406,7.34,14.77,2.9
Malselva - loggestasjon,2018-08-06T03:00:00Z,8.94,6.372,7.32,14.72,3.74
Malselva - loggestasjon,2018-08-06T04:00:00Z,9.43,6.36,7.31,14.68,3.33
Malselva - loggestasjon,2018-08-06T05:00:00Z,9.23,6.335,7.31,14.65,1.72
Malselva - loggestasjon,2018-08-06T06:00:00Z,9.87,6.347,7.31,14.63,2.1
Malselva - loggestasjon,2018-08-06T07:00:00Z,9.38,6.351,7.32,14.64,2.24
Malselva - loggestasjon,2018-08-06T08:00:00Z,8.89,6.366,7.32,14.68,2.24
Malselva - loggestasjon,2018-08-06T09:00:00Z,9.13,6.378,7.33,14.78,2.37
Malselva - loggestasjon,2018-08-06T10:00:00Z,9.08,6.397,7.34,14.91,2.17
Malselva - loggestasjon,2018-08-06T11:00:00Z,8.25,6.398,7.36,14.95,3.22
Malselva - loggestasjon,2018-08-06T12:00:00Z,8.69,6.413,7.38,15.02,2.13
Malselva - loggestasjon,2018-08-06T13:00:00Z,6.984,6.426,7.39,15.1,2.55
Malselva - loggestasjon,2018-08-06T14:00:00Z,8.94,6.418,7.41,15.04,2.51
Malselva - loggestasjon,2018-08-06T15:00:00Z,8.6,6.424,7.43,15.04,1.84
Malselva - loggestasjon,2018-08-06T16:00:00Z,8.79,6.432,7.44,15.05,2.52
Malselva - loggestasjon,2018-08-06T17:00:00Z,7.521,6.43,7.43,14.98,2.78
Malselva - loggestasjon,2018-08-06T18:00:00Z,8.84,6.431,7.44,14.88,2.15
Malselva - loggestasjon,2018-08-06T19:00:00Z,8.55,6.433,7.43,14.76,2.19
Malselva - loggestasjon,2018-08-06T20:00:00Z,8.99,6.435,7.41,14.61,2.63
Malselva - loggestasjon,2018-08-06T21:00:00Z,8.21,6.44,7.39,14.5,2.26
Malselva - loggestasjon,2018-08-06T22:00:00Z,8.5,6.461,7.37,14.37,2.63
Malselva - loggestasjon,2018-08-06T23:00:00Z,7.668,6.456,7.37,14.29,2.67
Malselva - loggestasjon,2018-08-07T00:00:00Z,9.62,6.472,7.35,14.22,2.19
Malselva - loggestasjon,2018-08-07T01:00:00Z,7.863,6.483,7.35,14.16,2.93
Malselva - loggestasjon,2018-08-07T02:00:00Z,9.77,6.497,7.34,14.08,1.97
Malselva - loggestasjon,2018-08-07T03:00:00Z,8.5,6.503,7.33,14.02,3.7
Malselva - loggestasjon,2018-08-07T04:00:00Z,9.43,6.504,7.33,13.97,3.29
Malselva - loggestasjon,2018-08-07T05:00:00Z,8.89,6.506,7.34,13.95,2.23
Malselva - loggestasjon,2018-08-07T06:00:00Z,9.72,6.509,7.34,13.96,1.6
Malselva - loggestasjon,2018-08-07T07:00:00Z,10.35,6.52,7.35,13.98,2.2
Malselva - loggestasjon,2018-08-07T08:00:00Z,10.06,6.524,7.36,14.05,2.62
Malselva - loggestasjon,2018-08-07T09:00:00Z,9.57,6.552,7.38,14.08,2.02
Malselva - loggestasjon,2018-08-07T10:00:00Z,8.69,6.586,7.39,14.19,1.81
Malselva - loggestasjon,2018-08-07T11:00:00Z,9.23,6.624,7.41,14.22,1.94
Malselva - loggestasjon,2018-08-07T12:00:00Z,8.16,6.632,7.42,14.26,2.3
Malselva - loggestasjon,2018-08-07T13:00:00Z,7.961,6.656,7.45,14.34,2.43
Malselva - loggestasjon,2018-08-07T14:00:00Z,8.6,6.725,7.46,14.39,3.76
Malselva - loggestasjon,2018-08-07T15:00:00Z,8.99,6.76,7.49,14.47,1.72
Malselva - loggestasjon,2018-08-07T16:00:00Z,7.863,6.834,7.49,14.48,2.05
Malselva - loggestasjon,2018-08-07T17:00:00Z,8.84,6.867,7.5,14.47,2.02
Malselva - loggestasjon,2018-08-07T18:00:00Z,8.6,6.904,7.5,14.39,3.83
Malselva - loggestasjon,2018-08-07T19:00:00Z,8.5,6.908,7.49,14.26,1.91
Malselva - loggestasjon,2018-08-07T20:00:00Z,8.4,6.911,7.48,14.13,1.74
Malselva - loggestasjon,2018-08-07T21:00:00Z,8.89,6.89,7.47,13.99,2.5
Malselva - loggestasjon,2018-08-07T22:00:00Z,9.38,6.878,7.45,13.86,2.23
Malselva - loggestasjon,2018-08-07T23:00:00Z,9.57,6.85,7.43,13.73,1.99
Malselva - loggestasjon,2018-08-08T00:00:00Z,8.94,6.829,7.42,13.52,2.05
Malselva - loggestasjon,2018-08-08T01:00:00Z,8.99,6.84,7.39,13.36,2.24
Malselva - loggestasjon,2018-08-08T02:00:00Z,9.43,6.827,7.39,13.22,2.1
Malselva - loggestasjon,2018-08-08T03:00:00Z,9.96,6.827,7.37,13.09,2.14
Malselva - loggestasjon,2018-08-08T04:00:00Z,10.31,6.821,7.37,13,1.92
Malselva - loggestasjon,2018-08-08T05:00:00Z,9.91,6.823,7.38,12.93,2.24
Malselva - loggestasjon,2018-08-08T06:00:00Z,10.16,6.821,7.38,12.89,3.36
Malselva - loggestasjon,2018-08-08T07:00:00Z,9.96,6.82,7.39,12.88,1.92
Malselva - loggestasjon,2018-08-08T08:00:00Z,9.96,6.824,7.39,12.91,2.05
Malselva - loggestasjon,2018-08-08T09:00:00Z,9.67,6.804,7.41,12.98,3.12
Malselva - loggestasjon,2018-08-08T10:00:00Z,9.13,6.805,7.4,13.12,2.63
Malselva - loggestasjon,2018-08-08T11:00:00Z,9.08,6.843,7.41,13.34,2.96
Malselva - loggestasjon,2018-08-08T12:00:00Z,8.11,6.879,7.43,13.59,1.78
Malselva - loggestasjon,2018-08-08T13:00:00Z,8.69,6.89,7.46,13.87,2.28
Malselva - loggestasjon,2018-08-08T14:00:00Z,8.84,6.861,7.48,14.12,2.77
Malselva - loggestasjon,2018-08-08T15:00:00Z,7.766,6.826,7.51,14.23,1.89
Malselva - loggestasjon,2018-08-08T16:00:00Z,8.84,6.841,7.55,14.31,1.67
Malselva - loggestasjon,2018-08-08T17:00:00Z,7.766,6.805,7.52,14.34,1.6
Malselva - loggestasjon,2018-08-08T18:00:00Z,8.64,6.81,7.51,14.34,2.17
Malselva - loggestasjon,2018-08-08T19:00:00Z,8.64,6.812,7.5,14.27,1.85
Malselva - loggestasjon,2018-08-08T20:00:00Z,9.28,6.822,7.48,14.17,1.47
Malselva - loggestasjon,2018-08-08T21:00:00Z,8.79,6.833,7.46,14.08,1.6
Malselva - loggestasjon,2018-08-08T22:00:00Z,9.52,6.828,7.43,13.95,1.68
Malselva - loggestasjon,2018-08-08T23:00:00Z,9.23,6.814,7.4,13.82,2.32
Malselva - loggestasjon,2018-08-09T00:00:00Z,9.67,6.796,7.38,13.7,1.4
Malselva - loggestasjon,2018-08-09T01:00:00Z,9.72,6.776,7.37,13.58,1.91
Malselva - loggestasjon,2018-08-09T02:00:00Z,9.77,6.762,7.37,13.51,1.55
Malselva - loggestasjon,2018-08-09T03:00:00Z,9.91,6.73,7.38,13.44,1.51
Malselva - loggestasjon,2018-08-09T04:00:00Z,9.72,6.729,7.38,13.41,1.66
Malselva - loggestasjon,2018-08-09T05:00:00Z,10.01,6.713,7.38,13.42,1.7
Malselva - loggestasjon,2018-08-09T06:00:00Z,9.91,6.712,7.4,13.44,1.7
Malselva - loggestasjon,2018-08-09T07:00:00Z,10.01,6.723,7.4,13.48,1.92
Malselva - loggestasjon,2018-08-09T08:00:00Z,9.87,6.743,7.42,13.52,2.1
Malselva - loggestasjon,2018-08-09T09:00:00Z,9.82,6.785,7.42,13.59,1.1
Malselva - loggestasjon,2018-08-09T10:00:00Z,10.06,6.83,7.42,13.61,1.8
Malselva - loggestasjon,2018-08-09T11:00:00Z,9.82,6.872,7.4,13.66,1.79
Malselva - loggestasjon,2018-08-09T12:00:00Z,10.06,6.866,7.37,13.7,1.58
Malselva - loggestasjon,2018-08-09T13:00:00Z,9.96,6.865,7.39,13.77,1.51
Malselva - loggestasjon,2018-08-09T14:00:00Z,9.87,6.853,7.4,13.84,3.07
Malselva - loggestasjon,2018-08-09T15:00:00Z,9.72,6.812,7.44,13.9,2.4
Malselva - loggestasjon,2018-08-09T16:00:00Z,9.77,6.807,7.44,13.94,1.96
Malselva - loggestasjon,2018-08-09T17:00:00Z,10.01,6.844,7.45,13.94,1.33
Malselva - loggestasjon,2018-08-09T18:00:00Z,9.82,6.883,7.46,13.93,1.6
Malselva - loggestasjon,2018-08-09T19:00:00Z,9.87,6.956,7.45,13.88,1.67
Malselva - loggestasjon,2018-08-09T20:00:00Z,9.91,7.051,7.45,13.83,1.74
Malselva - loggestasjon,2018-08-09T21:00:00Z,9.18,7.159,7.44,13.76,2.59
Malselva - loggestasjon,2018-08-09T22:00:00Z,9.77,7.289,7.43,13.68,1.93
Malselva - loggestasjon,2018-08-09T23:00:00Z,9.91,7.362,7.41,13.58,2.42
Malselva - loggestasjon,2018-08-10T00:00:00Z,9.77,7.391,7.38,13.54,2.09
Malselva - loggestasjon,2018-08-10T01:00:00Z,9.43,7.4,7.36,13.5,3.41
Malselva - loggestasjon,2018-08-10T02:00:00Z,10.16,7.364,7.36,13.47,2.3
Malselva - loggestasjon,2018-08-10T03:00:00Z,9.91,7.35,7.36,13.43,1.77
Malselva - loggestasjon,2018-08-10T04:00:00Z,10.06,7.299,7.36,13.42,1.55
Malselva - loggestasjon,2018-08-10T05:00:00Z,10.11,7.209,7.37,13.44,1.75
Malselva - loggestasjon,2018-08-10T06:00:00Z,9.91,7.196,7.38,13.48,2.17
Malselva - loggestasjon,2018-08-10T07:00:00Z,9.77,7.156,7.39,13.6,1.46
Malselva - loggestasjon,2018-08-10T08:00:00Z,9.87,7.124,7.39,13.73,1.77
Malselva - loggestasjon,2018-08-10T09:00:00Z,10.06,7.11,7.42,13.89,2
Malselva - loggestasjon,2018-08-10T10:00:00Z,9.87,7.096,7.43,14.03,2.05
Malselva - loggestasjon,2018-08-10T11:00:00Z,9.82,7.073,7.44,14.14,2.28
Malselva - loggestasjon,2018-08-10T12:00:00Z,9.67,7.066,7.45,14.19,1.88
Malselva - loggestasjon,2018-08-10T13:00:00Z,9.72,7.048,7.48,14.42,1.87
Malselva - loggestasjon,2018-08-10T14:00:00Z,9.04,7.018,7.49,14.59,1.6
Malselva - loggestasjon,2018-08-10T15:00:00Z,8.89,7.033,7.49,14.71,2.98
Malselva - loggestasjon,2018-08-10T16:00:00Z,8.6,7.073,7.5,14.78,3.19
Malselva - loggestasjon,2018-08-10T17:00:00Z,8.84,7.12,7.51,14.82,3.19
Malselva - loggestasjon,2018-08-10T18:00:00Z,8.74,7.163,7.49,14.75,1.5
Malselva - loggestasjon,2018-08-10T19:00:00Z,8.79,7.199,7.49,14.67,1.97
Malselva - loggestasjon,2018-08-10T20:00:00Z,9.13,7.223,7.48,14.56,2.55
Malselva - loggestasjon,2018-08-10T21:00:00Z,8.99,7.219,7.48,14.46,1.67
Malselva - loggestasjon,2018-08-10T22:00:00Z,9.08,7.217,7.47,14.39,1.65
Malselva - loggestasjon,2018-08-10T23:00:00Z,9.13,7.158,7.46,14.31,1.53
Malselva - loggestasjon,2018-08-11T00:00:00Z,9.33,7.133,7.42,14.27,1.81
Malselva - loggestasjon,2018-08-11T01:00:00Z,9.52,7.123,7.35,14.23,2.52
Malselva - loggestasjon,2018-08-11T02:00:00Z,9.87,7.061,7.36,14.18,1.47
Malselva - loggestasjon,2018-08-11T03:00:00Z,9.96,6.98,7.36,14.15,1.63
Malselva - loggestasjon,2018-08-11T04:00:00Z,9.62,6.932,7.37,14.13,4.36
Malselva - loggestasjon,2018-08-11T05:00:00Z,10.01,6.89,7.38,14.15,1.98
Malselva - loggestasjon,2018-08-11T06:00:00Z,9.91,6.861,7.4,14.17,2.1
Malselva - loggestasjon,2018-08-11T07:00:00Z,9.77,6.861,7.44,14.27,1.88
Malselva - loggestasjon,2018-08-11T08:00:00Z,9.96,6.866,7.5,14.35,2.13
Malselva - loggestasjon,2018-08-11T09:00:00Z,9.38,6.977,7.56,14.55,1.75
Malselva - loggestasjon,2018-08-11T10:00:00Z,9.13,6.923,7.6,14.67,2.61
Malselva - loggestasjon,2018-08-11T11:00:00Z,9.28,6.948,7.63,14.97,1.93
Malselva - loggestasjon,2018-08-11T12:00:00Z,9.04,6.975,7.62,15.02,2.19
Malselva - loggestasjon,2018-08-11T13:00:00Z,9.08,7.018,7.48,15.04,2.68
Malselva - loggestasjon,2018-08-11T14:00:00Z,8.99,7.072,7.41,15.13,1.8
Malselva - loggestasjon,2018-08-11T15:00:00Z,8.94,7.083,7.43,15.15,1.76
Malselva - loggestasjon,2018-08-11T16:00:00Z,8.74,7.119,7.46,15.09,1.83
Malselva - loggestasjon,2018-08-11T17:00:00Z,8.6,7.133,7.47,15.06,2.42
Malselva - loggestasjon,2018-08-11T18:00:00Z,8.84,7.152,7.48,15.01,1.79
Malselva - loggestasjon,2018-08-11T19:00:00Z,8.79,7.137,7.49,14.97,2.45
Malselva - loggestasjon,2018-08-11T20:00:00Z,8.74,7.162,7.48,14.89,1.93
Malselva - loggestasjon,2018-08-11T21:00:00Z,8.64,7.122,7.47,14.76,2.28
Malselva - loggestasjon,2018-08-11T22:00:00Z,8.99,7.078,7.44,14.66,2.7
Malselva - loggestasjon,2018-08-11T23:00:00Z,9.08,7.035,7.43,14.58,2.48
Malselva - loggestasjon,2018-08-12T00:00:00Z,9.13,7.042,7.4,14.52,1.73
Malselva - loggestasjon,2018-08-12T01:00:00Z,9.13,7.012,7.27,14.45,1.89
Malselva - loggestasjon,2018-08-12T02:00:00Z,9.33,7.036,7.18,14.4,1.29
Malselva - loggestasjon,2018-08-12T03:00:00Z,9.33,6.899,7.21,14.34,2.06
Malselva - loggestasjon,2018-08-12T04:00:00Z,9.13,6.88,7.23,14.28,1.29
Malselva - loggestasjon,2018-08-12T05:00:00Z,9.38,6.874,7.24,14.25,2.18
Malselva - loggestasjon,2018-08-12T06:00:00Z,9.67,6.886,7.24,14.23,2.39
Malselva - loggestasjon,2018-08-12T07:00:00Z,9.96,7.091,7.26,14.23,2.57
