station_name,datetime,CDOM_µg_L_corr_2022,Conductivity_mS_m,pH,Temp_C,Turbidity_NTU
Lundevannet,2015-03-01T17:38:00Z,64.96060099,4.155,NA,1.71,5.07
Lundevannet,2015-03-01T18:38:00Z,65.25709447,4.156,NA,1.73,4.88
Lundevannet,2015-03-01T19:38:00Z,64.64729315,4.153,NA,1.73,5.02
Lundevannet,2015-03-01T20:38:00Z,64.80397218,4.16,NA,1.72,5.2
Lundevannet,2015-03-01T21:38:00Z,64.64760136,4.022,NA,1.69,5.13
Lundevannet,2015-03-01T22:38:00Z,65.3133318,4.029,NA,1.68,5.07
Lundevannet,2015-03-01T23:38:00Z,65.64720187,4.03,NA,1.68,4.75
Lundevannet,2015-03-02T00:38:00Z,66.30279821,4.024,NA,1.7,4.33
Lundevannet,2015-03-02T01:38:00Z,66.43784678,4.027,NA,1.67,4.12
Lundevannet,2015-03-02T02:38:00Z,66.93022625,4.027,NA,1.67,3.88
Lundevannet,2015-03-02T03:38:00Z,66.90879231,4.022,NA,1.65,3.83
Lundevannet,2015-03-02T04:38:00Z,66.85526748,4.019,NA,1.6,3.83
Lundevannet,2015-03-02T05:38:00Z,66.68820923,4.023,NA,1.67,3.96
Lundevannet,2015-03-02T06:38:00Z,66.71690924,4.022,NA,1.65,3.87
Lundevannet,2015-03-02T07:38:00Z,66.75966788,4.021,NA,1.69,3.88
Lundevannet,2015-03-02T08:38:00Z,67.73221936,4.022,NA,1.74,3.53
Lundevannet,2015-03-02T09:38:00Z,67.83752303,4.024,NA,1.76,3.24
Lundevannet,2015-03-02T10:38:00Z,67.73138295,4.028,NA,1.77,3.27
Lundevannet,2015-03-02T11:38:00Z,67.78656813,4.031,NA,1.79,3.18
Lundevannet,2015-03-02T12:38:00Z,67.93559734,4.022,NA,1.85,3.09
Lundevannet,2015-03-02T13:38:00Z,67.76066068,4.025,NA,1.82,3.26
Lundevannet,2015-03-02T14:38:00Z,67.6453014,4.023,NA,1.76,3.24
Lundevannet,2015-03-02T15:38:00Z,67.45554244,4.02,NA,1.77,3.2
Lundevannet,2015-03-02T16:38:00Z,67.40538962,4.009,NA,1.77,3.12
Lundevannet,2015-03-02T17:38:00Z,67.34096389,4.008,NA,1.78,3.07
Lundevannet,2015-03-02T18:38:00Z,67.37195441,4.014,NA,1.77,3.08
Lundevannet,2015-03-02T19:38:00Z,67.78656813,4.005,NA,1.79,2.87
Lundevannet,2015-03-02T20:38:00Z,67.92543045,4.016,NA,1.81,2.84
Lundevannet,2015-03-02T21:38:00Z,67.38376889,4.017,NA,1.75,2.98
Lundevannet,2015-03-02T22:38:00Z,67.38376889,4.01,NA,1.75,2.95
Lundevannet,2015-03-02T23:38:00Z,67.6294722,4.014,NA,1.73,2.86
Lundevannet,2015-03-03T00:38:00Z,67.80489449,4.012,6.09,1.73,2.76
Lundevannet,2015-03-03T01:38:00Z,68.00282788,4.006,6.25,1.72,2.6
Lundevannet,2015-03-03T02:38:00Z,68.15316574,4.018,6.32,1.72,2.55
Lundevannet,2015-03-03T03:38:00Z,67.88083987,4.012,6.35,1.7,2.56
Lundevannet,2015-03-03T04:38:00Z,67.85909106,4.008,6.34,1.68,2.58
Lundevannet,2015-03-03T05:38:00Z,67.92586507,4.019,6.34,1.68,2.6
Lundevannet,2015-03-03T06:38:00Z,68.26026052,3.996,NA,1.94,2.55
Lundevannet,2015-03-03T07:38:00Z,68.90862308,3.995,NA,1.92,2.56
Lundevannet,2015-03-03T08:38:00Z,69.07035931,3.995,NA,1.96,2.64
Lundevannet,2015-03-03T09:38:00Z,68.74837815,3.995,NA,2.01,2.64
Lundevannet,2015-03-03T10:38:00Z,68.8607503,3.995,NA,1.96,2.5
Lundevannet,2015-03-03T11:38:00Z,68.82752306,3.995,NA,1.93,2.43
Lundevannet,2015-03-03T12:38:00Z,69.34432935,3.995,NA,1.92,2.28
Lundevannet,2015-03-03T13:38:00Z,69.36663999,3.993,NA,1.94,2.18
Lundevannet,2015-03-03T14:38:00Z,69.1403351,3.993,NA,1.94,2.3
Lundevannet,2015-03-03T15:38:00Z,68.02533175,3.993,NA,1.71,2.55
Lundevannet,2015-03-03T16:38:00Z,68.37081368,3.992,NA,1.85,2.4
Lundevannet,2015-03-03T17:38:00Z,68.63252126,3.992,NA,1.89,2.34
Lundevannet,2015-03-03T18:38:00Z,68.59329733,3.992,NA,1.9,2.3
Lundevannet,2015-03-03T19:38:00Z,68.73836843,3.992,NA,1.91,2.31
Lundevannet,2015-03-03T20:38:00Z,68.51791088,3.992,NA,1.9,2.32
Lundevannet,2015-03-03T21:38:00Z,68.85296179,3.992,NA,1.9,2.29
Lundevannet,2015-03-03T22:38:00Z,68.73836843,3.991,NA,1.91,2.19
Lundevannet,2015-03-03T23:38:00Z,68.86403272,3.992,NA,1.91,2.14
Lundevannet,2015-03-04T00:38:00Z,68.81739911,3.991,NA,1.83,2.15
Lundevannet,2015-03-04T01:38:00Z,68.90403843,3.991,NA,1.81,2.07
Lundevannet,2015-03-04T02:38:00Z,68.86221758,3.919,NA,1.81,2.03
Lundevannet,2015-03-04T03:38:00Z,68.66147748,3.962,NA,1.81,2.06
Lundevannet,2015-03-04T04:38:00Z,68.60864269,3.992,NA,1.8,2.11
Lundevannet,2015-03-04T05:38:00Z,68.68390814,3.992,NA,1.8,2.08
Lundevannet,2015-03-04T06:38:00Z,68.6478012,3.992,NA,1.79,2.08
Lundevannet,2015-03-04T07:38:00Z,68.86163151,3.86,NA,1.87,2.06
Lundevannet,2015-03-04T08:38:00Z,69.52308917,3.86,NA,1.93,2
Lundevannet,2015-03-04T09:38:00Z,69.80312937,3.861,NA,2.06,1.96
Lundevannet,2015-03-04T10:38:00Z,69.88404193,3.859,NA,2.02,1.93
Lundevannet,2015-03-04T11:38:00Z,69.67706117,3.858,NA,2.03,1.91
Lundevannet,2015-03-04T12:38:00Z,69.48119832,3.856,NA,1.99,1.95
Lundevannet,2015-03-04T13:38:00Z,69.57618156,3.857,NA,1.94,1.88
Lundevannet,2015-03-04T14:38:00Z,69.38066697,3.856,NA,1.9,1.88
Lundevannet,2015-03-04T15:38:00Z,69.18828452,3.855,NA,1.84,1.88
Lundevannet,2015-03-04T16:38:00Z,69.07112971,3.856,NA,1.84,1.87
Lundevannet,2015-03-04T17:38:00Z,69.01233174,3.856,NA,1.87,1.92
Lundevannet,2015-03-04T18:38:00Z,69.16014162,3.856,NA,1.89,1.9
Lundevannet,2015-03-04T19:38:00Z,69.03451772,3.855,NA,1.89,1.93
Lundevannet,2015-03-04T20:38:00Z,69.05106551,3.855,NA,1.92,1.99
Lundevannet,2015-03-04T21:38:00Z,68.99512935,3.856,NA,1.93,1.98
Lundevannet,2015-03-04T22:38:00Z,69.23815848,3.856,NA,1.93,1.88
Lundevannet,2015-03-04T23:38:00Z,69.25767838,3.856,NA,1.94,1.86
Lundevannet,2015-03-05T00:38:00Z,69.42257125,3.856,NA,1.87,1.77
Lundevannet,2015-03-05T01:38:00Z,69.24961592,3.856,NA,1.85,1.75
Lundevannet,2015-03-05T02:38:00Z,69.51186837,3.856,NA,1.86,1.77
Lundevannet,2015-03-05T03:38:00Z,69.59832636,3.855,NA,1.84,1.7
Lundevannet,2015-03-05T04:38:00Z,69.42817967,3.855,NA,1.83,1.69
Lundevannet,2015-03-05T05:38:00Z,69.40026773,3.855,NA,1.85,1.72
Lundevannet,2015-03-05T06:38:00Z,69.53694881,3.855,NA,1.83,1.72
Lundevannet,2015-03-05T07:38:00Z,69.86934707,3.854,NA,1.91,1.78
Lundevannet,2015-03-05T08:38:00Z,69.77988616,3.854,NA,1.89,1.74
Lundevannet,2015-03-05T09:38:00Z,69.81338587,3.854,NA,1.89,1.73
Lundevannet,2015-03-05T10:38:00Z,69.84403382,3.854,NA,1.88,1.68
Lundevannet,2015-03-05T11:38:00Z,70.94738323,3.76,NA,2.15,2.61
Lundevannet,2015-03-05T12:38:00Z,69.62998566,2.09,NA,2.22,4.36
Lundevannet,2015-03-05T13:38:00Z,67.10855368,2.09,NA,2.03,5.64
Lundevannet,2015-03-05T14:38:00Z,65.64082602,2.265,NA,1.92,9.42
Lundevannet,2015-03-05T15:38:00Z,63.01996511,2.373,NA,1.93,4.81
Lundevannet,2015-03-05T16:38:00Z,61.15516715,2.396,NA,1.9,6.18
Lundevannet,2015-03-05T17:38:00Z,60.22094006,2.447,NA,1.93,8.32
Lundevannet,2015-03-05T18:38:00Z,59.05384022,2.509,NA,1.91,9.65
Lundevannet,2015-03-05T19:38:00Z,58.54063892,2.516,NA,1.97,9.29
Lundevannet,2015-03-05T20:38:00Z,57.81108218,2.493,NA,1.97,8.59
Lundevannet,2015-03-05T21:38:00Z,57.52596805,2.528,NA,1.97,9.71
Lundevannet,2015-03-05T22:38:00Z,56.61595293,2.575,NA,1.91,10.01
Lundevannet,2015-03-05T23:38:00Z,56.68444734,2.594,NA,1.93,10.01
Lundevannet,2015-03-06T00:38:00Z,56.23191036,2.466,NA,1.93,10.01
Lundevannet,2015-03-06T01:38:00Z,56.94735409,2.373,NA,1.97,7.71
Lundevannet,2015-03-06T02:38:00Z,57.53085911,2.396,NA,1.93,7.49
Lundevannet,2015-03-06T03:38:00Z,57.45199461,2.497,NA,1.89,8.6
Lundevannet,2015-03-06T04:38:00Z,57.38584443,2.524,NA,1.9,9.84
Lundevannet,2015-03-06T05:38:00Z,57.37078578,2.555,NA,1.92,10.01
Lundevannet,2015-03-06T06:38:00Z,57.37662027,2.559,NA,1.89,10.01
Lundevannet,2015-03-06T07:38:00Z,56.9602164,2.513,NA,1.92,10.01
Lundevannet,2015-03-06T08:38:00Z,57.49097746,2.644,NA,2.05,10.01
Lundevannet,2015-03-06T11:44:00Z,57.93787382,2.66,NA,2.07,10.01
Lundevannet,2015-03-06T12:44:00Z,57.73720069,2.695,NA,2.08,10.01
Lundevannet,2015-03-06T13:44:00Z,57.87533301,2.768,NA,2.12,10.01
Lundevannet,2015-03-06T14:44:00Z,57.83893256,2.757,NA,2.09,10.01
Lundevannet,2015-03-06T15:44:00Z,57.82499391,2.741,NA,2.03,10.01
Lundevannet,2015-03-06T16:44:00Z,57.61821086,2.71,NA,1.97,10.01
Lundevannet,2015-03-06T17:44:00Z,57.64604459,2.733,NA,2,10.01
Lundevannet,2015-03-06T18:44:00Z,56.93213727,2.718,NA,1.99,10.01
Lundevannet,2015-03-06T19:44:00Z,56.9504751,2.733,NA,2.01,10.01
Lundevannet,2015-03-06T20:44:00Z,57.00082177,2.718,NA,2.01,10.01
Lundevannet,2015-03-06T21:44:00Z,57.27689513,2.679,NA,2,10.01
Lundevannet,2015-03-06T22:44:00Z,57.66461536,2.656,NA,2.02,9.69
Lundevannet,2015-03-06T23:44:00Z,57.96212691,2.59,NA,2.06,7.88
Lundevannet,2015-03-07T00:44:00Z,58.47439723,2.575,NA,2.06,5.54
Lundevannet,2015-03-07T01:44:00Z,59.48214212,2.582,NA,2.06,5.1
Lundevannet,2015-03-07T02:44:00Z,59.84699544,2.578,NA,2.09,4.65
Lundevannet,2015-03-07T03:44:00Z,59.96255804,2.656,NA,2.14,4.38
Lundevannet,2015-03-07T04:44:00Z,60.42638081,2.679,NA,2.15,5.05
Lundevannet,2015-03-07T05:44:00Z,60.37017931,2.71,NA,2.17,9.95
Lundevannet,2015-03-07T06:44:00Z,60.28785597,2.71,NA,2.12,10.01
Lundevannet,2015-03-07T07:44:00Z,60.352442,2.718,NA,2.1,10.01
Lundevannet,2015-03-07T08:44:00Z,60.41662873,2.679,NA,2.14,10.01
Lundevannet,2015-03-07T09:44:00Z,60.43613604,2.695,NA,2.16,10.01
Lundevannet,2015-03-07T10:44:00Z,60.60865644,2.706,NA,2.13,10.01
Lundevannet,2015-03-07T11:44:00Z,60.5053284,2.629,NA,2.05,10.01
Lundevannet,2015-03-07T12:44:00Z,60.77820355,2.668,NA,2.14,10.01
Lundevannet,2015-03-07T13:44:00Z,60.79502098,2.683,NA,2.14,10.01
Lundevannet,2015-03-07T14:44:00Z,60.98001275,2.679,NA,2.14,8.71
Lundevannet,2015-03-07T15:44:00Z,60.97858027,2.683,NA,2.13,7.43
Lundevannet,2015-03-07T16:44:00Z,60.93654347,2.683,NA,2.13,5.96
Lundevannet,2015-03-07T17:44:00Z,61.00236626,2.695,NA,2.12,5.18
Lundevannet,2015-03-07T18:44:00Z,60.87344609,2.656,NA,2.1,4.27
Lundevannet,2015-03-07T19:44:00Z,61.14818708,2.668,NA,2.14,3.68
Lundevannet,2015-03-07T20:44:00Z,61.11309802,2.695,NA,2.13,3.42
Lundevannet,2015-03-07T21:44:00Z,61.27283786,2.695,NA,2.13,3.18
Lundevannet,2015-03-07T22:44:00Z,61.28272654,2.679,NA,2.14,2.96
Lundevannet,2015-03-07T23:44:00Z,61.38063641,2.706,NA,2.12,2.94
Lundevannet,2015-03-08T00:44:00Z,61.08497711,2.718,NA,2.11,2.91
Lundevannet,2015-03-08T01:44:00Z,60.48689467,2.718,NA,2.1,2.92
Lundevannet,2015-03-08T02:44:00Z,61.35203682,2.695,NA,2.21,2.88
Lundevannet,2015-03-08T03:44:00Z,61.76079316,2.706,NA,2.24,2.81
Lundevannet,2015-03-08T04:44:00Z,61.89396734,2.679,NA,2.23,2.77
Lundevannet,2015-03-08T05:44:00Z,62.01707674,2.745,NA,2.21,2.78
Lundevannet,2015-03-08T06:44:00Z,62.03872936,2.78,NA,2.24,2.82
Lundevannet,2015-03-08T07:44:00Z,62.05557398,2.764,NA,2.24,2.79
Lundevannet,2015-03-08T08:44:00Z,62.23712607,2.757,NA,2.32,2.61
Lundevannet,2015-03-08T09:44:00Z,62.42599865,2.792,NA,2.34,2.63
Lundevannet,2015-03-08T10:44:00Z,62.50866159,2.83,NA,2.38,2.66
Lundevannet,2015-03-08T11:44:00Z,62.60662258,2.857,NA,2.41,2.69
Lundevannet,2015-03-08T12:44:00Z,62.5390714,2.885,NA,2.46,2.66
Lundevannet,2015-03-08T13:44:00Z,62.77400653,2.908,NA,2.45,2.64
Lundevannet,2015-03-08T14:44:00Z,62.62854674,2.943,NA,2.39,2.71
Lundevannet,2015-03-08T15:44:00Z,62.42424746,2.95,NA,2.38,2.7
Lundevannet,2015-03-08T16:44:00Z,62.24884379,2.943,NA,2.34,2.72
Lundevannet,2015-03-08T17:44:00Z,61.22366395,2.943,NA,2.31,2.68
Lundevannet,2015-03-08T18:44:00Z,61.13968857,2.993,NA,2.37,2.64
Lundevannet,2015-03-08T19:44:00Z,60.9358419,3.082,NA,2.42,2.64
Lundevannet,2015-03-08T20:44:00Z,60.54181241,3.094,NA,2.38,2.65
Lundevannet,2015-03-08T21:44:00Z,60.34365437,3.094,NA,2.35,2.67
Lundevannet,2015-03-08T22:44:00Z,60.0061619,3.101,NA,2.35,2.66
Lundevannet,2015-03-08T23:44:00Z,59.30586501,3.067,NA,2.35,2.67
Lundevannet,2015-03-09T00:44:00Z,59.25755845,3.067,NA,2.37,2.68
Lundevannet,2015-03-09T01:44:00Z,59.39395247,3.067,NA,2.31,2.68
Lundevannet,2015-03-09T02:44:00Z,59.51316068,3.051,NA,2.39,2.68
Lundevannet,2015-03-09T03:44:00Z,59.6565623,3.008,NA,2.32,2.69
Lundevannet,2015-03-09T04:44:00Z,59.71313115,2.923,NA,2.3,2.66
Lundevannet,2015-03-09T05:44:00Z,59.83958843,2.923,NA,2.3,2.67
Lundevannet,2015-03-09T06:44:00Z,59.85268736,2.908,NA,2.27,2.68
Lundevannet,2015-03-09T07:44:00Z,60.19555187,2.745,NA,2.25,2.67
Lundevannet,2015-03-09T08:44:00Z,61.45154503,2.609,NA,2.2,2.65
Lundevannet,2015-03-09T09:44:00Z,61.96361824,2.768,NA,2.35,2.65
Lundevannet,2015-03-09T10:44:00Z,61.90405585,2.873,NA,2.4,2.66
Lundevannet,2015-03-09T11:44:00Z,62.05852472,3.078,NA,2.52,2.66
Lundevannet,2015-03-09T12:44:00Z,61.81531906,3.078,NA,2.48,2.69
Lundevannet,2015-03-09T13:44:00Z,61.52173118,3.094,NA,2.44,2.66
Lundevannet,2015-03-09T14:44:00Z,61.48793267,3.059,NA,2.44,2.66
Lundevannet,2015-03-09T15:44:00Z,60.91609043,3.028,NA,2.4,2.63
Lundevannet,2015-03-09T16:44:00Z,60.655708,2.993,NA,2.41,2.66
Lundevannet,2015-03-09T17:44:00Z,60.74436553,3.051,NA,2.44,2.64
Lundevannet,2015-03-09T18:44:00Z,60.75421822,3.129,NA,2.45,2.66
Lundevannet,2015-03-09T19:44:00Z,60.63298778,3.132,NA,2.49,2.68
Lundevannet,2015-03-09T20:44:00Z,60.89524484,3.101,NA,2.55,2.66
Lundevannet,2015-03-09T21:44:00Z,61.09839828,3.063,NA,2.55,2.63
Lundevannet,2015-03-09T22:44:00Z,61.66087637,3.101,NA,2.52,2.66
Lundevannet,2015-03-09T23:44:00Z,61.48168069,3.125,NA,2.51,2.66
Lundevannet,2015-03-10T00:44:00Z,61.72478807,3.082,NA,2.55,2.63
Lundevannet,2015-03-10T01:44:00Z,62.01419905,3.117,NA,2.56,2.65
Lundevannet,2015-03-10T02:44:00Z,61.8194787,3.144,NA,2.56,2.65
Lundevannet,2015-03-10T03:44:00Z,61.90623387,3.101,NA,2.52,2.68
Lundevannet,2015-03-10T04:44:00Z,62.25806586,3.028,NA,2.55,2.69
Lundevannet,2015-03-10T05:44:00Z,62.59671475,2.95,NA,2.6,2.8
Lundevannet,2015-03-10T06:44:00Z,63.72252445,2.958,NA,2.64,2.86
Lundevannet,2015-03-10T07:44:00Z,63.93096967,3.047,NA,2.71,2.86
Lundevannet,2015-03-10T08:44:00Z,64.40729463,3.109,NA,2.8,2.91
Lundevannet,2015-03-10T09:44:00Z,NA,2.532,NA,2.28,2.89
Lundevannet,2015-03-10T10:44:00Z,NA,2.532,NA,2.29,2.97
Lundevannet,2015-03-10T11:44:00Z,65.47774362,3.024,NA,2.72,2.94
Lundevannet,2015-03-10T12:44:00Z,65.69216179,3.008,NA,2.73,2.95
Lundevannet,2015-03-10T13:44:00Z,65.54481649,3.218,NA,2.91,2.99
Lundevannet,2015-03-10T14:44:00Z,65.99948929,3.194,NA,2.85,3.01
Lundevannet,2015-03-10T15:44:00Z,66.59492224,3.109,NA,2.85,3.01
Lundevannet,2015-03-10T16:44:00Z,66.6218358,3.148,NA,2.82,3.04
Lundevannet,2015-03-10T17:44:00Z,65.4100219,3.214,NA,2.76,3.15
Lundevannet,2015-03-10T18:44:00Z,64.92183572,3.249,NA,2.7,3.17
Lundevannet,2015-03-10T19:44:00Z,64.76267484,3.132,NA,2.71,3.21
Lundevannet,2015-03-10T20:44:00Z,64.42320334,3.144,NA,2.71,3.13
Lundevannet,2015-03-10T21:44:00Z,63.86307537,3.191,NA,2.71,3.16
Lundevannet,2015-03-10T22:44:00Z,63.52278968,3.268,NA,2.66,3.2
Lundevannet,2015-03-10T23:44:00Z,62.48993476,3.346,NA,2.67,3.18
Lundevannet,2015-03-11T00:44:00Z,61.54236829,3.357,NA,2.63,3.15
Lundevannet,2015-03-11T01:44:00Z,61.3494801,3.415,NA,2.7,3.18
Lundevannet,2015-03-11T02:44:00Z,60.18829642,3.431,NA,2.71,3.16
Lundevannet,2015-03-11T03:44:00Z,60.11648605,3.369,NA,2.68,3.13
Lundevannet,2015-03-11T04:44:00Z,60.0159827,3.357,NA,2.69,3.13
Lundevannet,2015-03-11T05:44:00Z,60.04862491,3.334,NA,2.68,3.13
Lundevannet,2015-03-11T06:44:00Z,60.04402103,3.342,NA,2.71,3.15
Lundevannet,2015-03-11T07:44:00Z,59.85261205,3.477,NA,2.74,3.13
Lundevannet,2015-03-11T08:44:00Z,60.29537089,3.609,NA,2.94,3.16
Lundevannet,2015-03-11T09:44:00Z,59.77698484,3.687,NA,2.95,3.18
Lundevannet,2015-03-11T10:44:00Z,59.75667252,3.78,NA,3.06,3.2
Lundevannet,2015-03-11T11:44:00Z,NA,3.679,6,NA,0.94
Lundevannet,2015-03-11T12:44:00Z,68.84325816,3.33,6.15,3.14,0.95
Lundevannet,2015-03-11T13:44:00Z,69.48137832,3.295,5.99,2.98,0.95
Lundevannet,2015-03-11T14:44:00Z,69.26306273,3.218,5.99,2.84,0.97
Lundevannet,2015-03-11T15:44:00Z,69.11605079,3.194,5.97,2.77,0.97
Lundevannet,2015-03-11T16:44:00Z,68.98610838,3.175,5.95,2.73,0.99
Lundevannet,2015-03-11T17:44:00Z,68.88423375,3.198,5.84,2.73,1
Lundevannet,2015-03-11T18:44:00Z,68.75960454,3.229,5.78,2.74,1
Lundevannet,2015-03-11T19:44:00Z,68.81599759,3.264,5.84,2.76,1.01
Lundevannet,2015-03-11T20:44:00Z,68.81567755,3.303,5.8,2.79,0.98
Lundevannet,2015-03-11T21:44:00Z,68.99711953,3.291,5.75,2.77,0.99
Lundevannet,2015-03-11T22:44:00Z,68.89187538,3.28,5.79,2.82,0.99
