station_name,datetime,pH,Conductivity_mS_m,SPM_mg_L,TOC_mg_L,Turbidity_NTU,PO4_ug_L,TP_ug_L,NO3_ug_L,NH4_ug_L,TN_ug_L,Si_mg_L,Ca_mg_L,DOC_mg_L,PartC_ug_L,PartN_ug_L,TDP_ug_L
Storelva,2020-05-04T11:15:00Z,6.27,2.55,1.8,4.7,1.2,3,5,150,NA,310,1.09,1.46,4.7,376,33.7,2
Storelva,2020-06-02T09:10:00Z,6.64,2.9,1.66,5.4,1,2,7,98,NA,250,0.655,1.6,5.1,400,38.2,3
Storelva,2020-07-06T11:00:00Z,6.64,2.8,2.2,5.3,1.1,2,6,60,9,280,0.478,1.67,5.2,449,63.7,NA
Storelva,2020-08-17T10:30:00Z,6.51,2.27,2.02,5.5,0.92,2,7,24,9,230,0.695,1.34,5.3,534,57.6,1
Storelva,2020-09-07T13:00:00Z,6.57,2.45,1.53,5,0.63,1,5,40,NA,220,0.715,1.49,4.3,322,34.5,2
Storelva,2020-10-05T13:00:00Z,6.36,2.92,6.24,7,4.9,6,13,160,21,370,1.17,1.75,6.7,638,61.6,5
Storelva,2020-11-02T10:15:00Z,6.28,2.68,2.9,6.8,2.1,3,11,140,7,370,1.52,1.6,6.7,422,42.4,4
Storelva,2020-12-07T12:30:00Z,6.34,2.73,2.57,6.2,1.6,2,9,220,17,410,1.62,1.62,6.2,390,34.8,3
Storelva,2021-01-25T13:30:00Z,6.27,2.73,1.92,5.6,1.5,2,7,140,34,480,1.36,1.6,5.6,268,23.7,NA
Storelva,2021-02-08T10:45:00Z,6.38,2.69,1.19,5.2,0.77,NA,6,150,31,380,1.49,1.64,5.3,277,23.3,NA
Storelva,2021-03-01T11:00:00Z,6.29,3.03,2.38,4.9,1.9,3,8,180,40,430,1.52,1.62,4.9,303,25.7,NA
Storelva,2021-04-06T13:20:00Z,6.36,2.31,1.48,4.6,0.92,2,9,160,24,360,1.28,1.3,4.4,389,32.7,NA
Storelva,2021-05-03T11:10:00Z,6.48,2.5,1.77,4.3,0.92,2,6,150,NA,300,1.07,1.43,4.2,391,43.8,NA
Storelva,2021-06-07T08:40:00Z,6.51,2.4,1.61,5.1,1.1,2,6,64,13,260,0.594,1.54,4.9,394,34.1,NA
Storelva,2021-07-05T12:40:00Z,6.6,2.77,2.09,4.5,1.2,2,8,82,8,320,0.514,1.95,4.5,484,29,NA
Storelva,2021-08-02T12:30:00Z,6.67,2.95,3.16,5.5,1.7,2,11,120,6,370,0.814,2.1,5.2,475,61,NA
Storelva,2021-09-06T13:20:00Z,6.8,2.55,1.67,4.3,0.87,2,7,15,2,230,0.553,1.96,4.3,708,48.4,NA
Storelva,2021-10-04T11:10:00Z,6.3,3.85,6.67,7.9,4.4,6,15,180,NA,460,1.37,1.95,7.6,815,64.5,NA
Storelva,2021-11-01T08:25:00Z,6.53,3.16,5.05,6.2,3.2,6,14,140,36,470,1.39,1.81,6.1,718,75.5,NA
Storelva,2021-12-13T12:15:00Z,6.33,3.07,1.7,5.5,1.3,2,6,210,51,480,1.55,1.8,5.6,240,24.3,NA
