datetime,FDOM,Turbidity,Q,Event_no
2019-04-21 19:00:00+00:00,37.8,7.33,70.81234,1
2019-04-21 20:00:00+00:00,35.16,9.14,72.93845,1
2019-04-21 21:00:00+00:00,33.21,7.76,74.99041,1
2019-04-21 22:00:00+00:00,34.63,9.39,76.3745,1
2019-04-21 23:00:00+00:00,37.02,7.79,76.74963,1
2019-04-22 00:00:00+00:00,36.87,10.47,77.23374,1
2019-04-22 01:00:00+00:00,37.26,12.15,77.93569,1
2019-04-22 02:00:00+00:00,36.14,9.13,78.66833,1
2019-04-22 03:00:00+00:00,36.39,11.8,79.51402,1
2019-04-22 04:00:00+00:00,36.19,11.38,79.89739,1
2019-04-22 05:00:00+00:00,36.39,11.52,78.75044,1
2019-04-22 06:00:00+00:00,36.92,9.65,77.85448,1
2019-04-22 07:00:00+00:00,37.07,12.86,77.58411,1
2019-04-22 08:00:00+00:00,36.39,12.83,77.50314,1
2019-04-22 09:00:00+00:00,36.78,15.53,77.61113,1
2019-04-22 10:00:00+00:00,37.7,9.18,77.71917,1
2019-04-22 11:00:00+00:00,39.07,9.15,77.69215,1
2019-04-22 12:00:00+00:00,38.49,9.49,77.80041,1
2019-04-22 13:00:00+00:00,39.85,9.48,78.53248,1
2019-04-22 14:00:00+00:00,39.46,7.63,79.70617,1
2019-04-22 15:00:00+00:00,43.76,7.14,81.13729,1
2019-04-22 16:00:00+00:00,39.95,8.35,82.58202,1
2019-04-22 17:00:00+00:00,45.76,6.45,84.52126,1
2019-04-22 18:00:00+00:00,46.84,7.55,86.85616,1
2019-04-22 19:00:00+00:00,42.44,8.47,88.96145,1
2019-04-22 20:00:00+00:00,43.96,7.78,90.09754,1
2019-04-22 21:00:00+00:00,47.03,14.22,91.27206,1
2019-04-22 22:00:00+00:00,43.42,8.89,94.06823,1
2019-04-22 23:00:00+00:00,47.96,10.76,99.4802,1
2019-04-23 00:00:00+00:00,48.11,16.59,105.3334,1
2019-04-23 01:00:00+00:00,50.16,11.53,111.2036,1
2019-04-23 02:00:00+00:00,50.06,17.23,116.7036,1
2019-04-23 03:00:00+00:00,49.43,12.51,121.7278,1
2019-04-23 04:00:00+00:00,49.82,16.02,125.8824,1
2019-04-23 05:00:00+00:00,49.72,16.72,128.7311,1
2019-04-23 06:00:00+00:00,49.52,14.76,133.0549,1
2019-04-23 07:00:00+00:00,50.31,17.24,138.8487,1
2019-04-23 08:00:00+00:00,50.01,22.85,145.3007,1
2019-04-23 09:00:00+00:00,49.04,18.02,152.0269,1
2019-04-23 10:00:00+00:00,50.26,17.96,159.5882,1
2019-04-23 11:00:00+00:00,48.69,23.94,167.3459,1
2019-04-23 12:00:00+00:00,46.69,21.88,175.7181,1
2019-04-23 13:00:00+00:00,48.16,24.13,182.7629,1
2019-04-23 14:00:00+00:00,49.47,34.19,189.6151,1
2019-04-23 15:00:00+00:00,47.28,18.34,196.4229,1
2019-04-23 16:00:00+00:00,51.58,31.32,204.3178,1
2019-04-23 17:00:00+00:00,47.52,28.84,212.2642,1
2019-04-23 18:00:00+00:00,48.99,21.73,215.791,1
2019-04-23 19:00:00+00:00,51.92,18.78,220.1993,1
2019-04-23 20:00:00+00:00,49.28,26,223.5554,1
2019-04-23 21:00:00+00:00,48.45,26.24,224.1732,1
2019-04-23 22:00:00+00:00,48.01,30.4,223.0808,1
2019-04-23 23:00:00+00:00,47.86,22.44,221.2813,1
2019-04-24 00:00:00+00:00,51.62,22.55,218.2702,1
2019-04-24 01:00:00+00:00,49.77,32.21,214.1165,1
2019-04-24 02:00:00+00:00,49.62,35.62,210.9247,1
2019-04-24 03:00:00+00:00,50.31,30.18,207.4877,1
2019-04-24 04:00:00+00:00,51.87,29.59,200.9281,1
2019-04-24 05:00:00+00:00,50.01,27.48,195.8414,1
2019-04-24 06:00:00+00:00,52.75,25.52,193.2367,1
2019-04-24 07:00:00+00:00,52.55,31.11,192.0954,1
2019-04-24 08:00:00+00:00,53.72,25.86,191.9201,1
2019-04-24 09:00:00+00:00,52.36,21.34,192.4461,1
2019-04-24 10:00:00+00:00,51.77,23.61,193.4123,1
2019-04-24 11:00:00+00:00,52.94,18,194.6018,1
2019-04-24 12:00:00+00:00,53.87,21.84,196.1939,1
2019-04-24 13:00:00+00:00,53.92,32.88,198.2824,1
2019-04-24 14:00:00+00:00,53.63,18.8,201.2374,1
2019-04-24 15:00:00+00:00,51.09,23,205.8026,1
2019-04-24 16:00:00+00:00,52.01,23.92,211.7136,1
2019-04-24 17:00:00+00:00,53.14,23.21,218.5562,1
2019-04-24 18:00:00+00:00,54.11,18.08,224.0331,1
2019-04-24 19:00:00+00:00,51.97,20.81,226.6071,1
2019-04-24 20:00:00+00:00,52.84,24.06,227.1816,1
2019-04-24 21:00:00+00:00,54.41,24.73,226.6549,1
2019-04-24 22:00:00+00:00,51.82,27.36,225.1741,1
2019-04-24 23:00:00+00:00,56.26,23.99,223.2707,1
2019-04-25 00:00:00+00:00,52.65,17.01,221.423,1
2019-04-25 01:00:00+00:00,55.09,27.47,219.8189,1
2019-04-25 02:00:00+00:00,51.33,22.72,218.3616,1
2019-04-25 03:00:00+00:00,51.82,23.45,217.0969,1
2019-04-25 04:00:00+00:00,51.87,20.26,216.1156,1
2019-04-25 05:00:00+00:00,55.24,17.65,215.4163,1
2019-04-25 06:00:00+00:00,53.82,23.41,214.9972,1
2019-04-25 07:00:00+00:00,52.26,18.59,214.6252,1
2019-04-25 08:00:00+00:00,53.77,20.55,214.3928,1
2019-04-25 09:00:00+00:00,55.24,24.99,214.0677,1
2019-04-25 10:00:00+00:00,54.75,27.91,213.3721,1
2019-04-25 11:00:00+00:00,53.28,17.01,212.5849,1
2019-04-25 12:00:00+00:00,52.7,16.17,211.8917,1
2019-04-25 13:00:00+00:00,55.53,15.23,211.5686,1
2019-04-25 14:00:00+00:00,53.48,27.36,212.771,1
2019-04-25 15:00:00+00:00,51.92,19.13,216.211,1
2019-04-25 16:00:00+00:00,53.58,40.13,219.8677,1
2019-04-25 17:00:00+00:00,51.97,24.05,223.6996,1
2019-04-25 18:00:00+00:00,53.28,24.31,226.081,1
2019-04-25 19:00:00+00:00,51.09,20.35,227.0379,1
2019-04-25 20:00:00+00:00,53.14,21.76,227.3254,1
2019-04-25 21:00:00+00:00,50.74,22.43,227.2295,1
2019-04-25 22:00:00+00:00,50.45,18.99,226.3201,1
2019-04-25 23:00:00+00:00,51.43,25.76,224.8403,1
2019-04-26 00:00:00+00:00,52.31,34.85,223.1281,1
2019-04-26 01:00:00+00:00,49.13,23.1,221.423,1
2019-04-26 02:00:00+00:00,50.5,36.85,219.6778,1
2019-04-26 03:00:00+00:00,49.47,24.24,218.1272,1
2019-04-26 04:00:00+00:00,48.5,31.68,216.7228,1
2019-04-26 05:00:00+00:00,49.87,30.45,215.5097,1
2019-04-26 06:00:00+00:00,50.4,21.87,214.4393,1
2019-04-26 07:00:00+00:00,51.67,26.01,213.7893,1
2019-04-26 08:00:00+00:00,48.84,20.48,212.7701,1
2019-04-26 09:00:00+00:00,50.4,17.95,211.7072,1
2019-04-26 10:00:00+00:00,50.55,30.05,210.9694,1
2019-04-26 11:00:00+00:00,46.94,23.16,210.7391,1
2019-04-26 12:00:00+00:00,48.4,24.85,210.8773,1
2019-04-26 13:00:00+00:00,50.65,26.76,212.2156,1
2019-04-26 14:00:00+00:00,48.25,30.88,214.2542,1
2019-04-26 15:00:00+00:00,46.35,31.53,216.7238,1
2019-04-26 16:00:00+00:00,46.74,39.27,219.6314,1
2019-04-26 17:00:00+00:00,46.89,33.95,222.3699,1
2019-04-26 18:00:00+00:00,50.21,18.78,224.1735,1
2019-04-26 19:00:00+00:00,47.37,16.97,225.0306,1
2019-04-26 20:00:00+00:00,48.5,36.03,224.697,1
2019-04-26 21:00:00+00:00,48.06,17.02,223.5554,1
2019-04-26 22:00:00+00:00,48.35,18.74,221.9432,1
2019-04-26 23:00:00+00:00,48.25,17.11,220.6199,1
2019-04-27 00:00:00+00:00,46.45,24.38,219.7244,1
2019-04-27 01:00:00+00:00,47.86,18.39,219.3479,1
2019-04-27 02:00:00+00:00,48.79,22.02,218.7371,1
2019-04-27 03:00:00+00:00,48.69,21.57,218.4084,1
2019-04-27 04:00:00+00:00,49.91,19.63,218.127,1
2019-04-27 05:00:00+00:00,49.33,21.42,217.3774,1
2019-04-27 06:00:00+00:00,49.43,15.64,215.9295,1
2019-04-27 07:00:00+00:00,49.72,12.91,213.8365,1
2019-04-27 08:00:00+00:00,49.82,27.13,211.5231,1
2019-04-27 09:00:00+00:00,50.99,16.35,209.4987,1
2019-04-27 10:00:00+00:00,50.4,12.83,207.7583,1
2019-04-27 11:00:00+00:00,51.38,20.91,207.2558,1
2019-04-27 12:00:00+00:00,51.33,11.44,208.033,1
2019-04-27 13:00:00+00:00,50.79,22.4,210.925,1
2019-04-27 14:00:00+00:00,50.06,11.38,215.3283,1
2019-04-27 15:00:00+00:00,51.92,13.51,221.9975,1
2019-04-27 16:00:00+00:00,50.5,16.2,228.5794,1
2019-04-27 17:00:00+00:00,48.55,17.38,234.9237,1
2019-04-27 18:00:00+00:00,49.04,14.88,239.9738,1
2019-04-27 19:00:00+00:00,47.81,12.94,242.6447,1
2019-04-27 20:00:00+00:00,48.16,17.65,243.0417,1
2019-04-27 21:00:00+00:00,47.47,15.74,240.616,1
2019-04-27 22:00:00+00:00,46.3,19.11,236.2408,1
2019-04-27 23:00:00+00:00,46.15,14.68,231.6158,1
2019-04-28 00:00:00+00:00,45.42,25.4,227.471,1
2019-04-28 01:00:00+00:00,44.49,26.53,224.6027,1
2019-04-28 02:00:00+00:00,43.32,29.34,222.0383,1
2019-04-28 03:00:00+00:00,42.54,27.31,220.1486,1
2019-04-28 04:00:00+00:00,41.76,22.57,218.9721,1
2019-04-28 05:00:00+00:00,41.9,26.11,217.6116,1
2019-04-28 06:00:00+00:00,42.78,23.13,216.3492,1
2019-04-28 07:00:00+00:00,41.12,41.05,214.9976,1
2019-04-28 08:00:00+00:00,41.56,21.71,213.1411,1
2019-04-28 09:00:00+00:00,42.59,24.85,211.016,1
2019-04-28 10:00:00+00:00,43.08,19.6,209.0403,1
2019-04-28 11:00:00+00:00,45.08,16.7,207.1192,1
2019-04-28 12:00:00+00:00,46.35,20.95,205.935,1
2019-04-28 13:00:00+00:00,47.62,13.19,205.6166,1
2019-04-28 14:00:00+00:00,47.18,18.19,205.753,1
2019-04-28 15:00:00+00:00,46.94,19.75,207.4852,1
2019-04-28 16:00:00+00:00,47.33,11.41,210.3723,1
2019-04-28 17:00:00+00:00,46.5,19.79,213.1413,1
2019-04-28 18:00:00+00:00,49.08,13.94,215.2769,1
2019-04-28 19:00:00+00:00,48.01,11.73,215.9756,1
2019-04-28 20:00:00+00:00,51.62,18.52,216.0689,1
2019-04-28 21:00:00+00:00,47.52,23.83,215.3233,1
2019-04-28 22:00:00+00:00,49.43,17.22,213.9287,1
2019-04-28 23:00:00+00:00,48.55,17.21,212.6314,1
2019-04-29 00:00:00+00:00,49.72,19.68,211.5687,1
2019-04-29 01:00:00+00:00,47.37,20.29,210.9234,1
2019-04-29 02:00:00+00:00,48.35,16.18,210.279,1
2019-04-29 03:00:00+00:00,50.5,12.15,209.59,1
2019-04-29 04:00:00+00:00,48.79,23.07,209.1311,1
2019-04-29 05:00:00+00:00,47.91,14.98,208.9477,1
2019-04-29 06:00:00+00:00,47.96,16.29,208.9019,1
2019-04-29 07:00:00+00:00,48.79,14.35,208.6729,1
2019-04-29 08:00:00+00:00,48.3,14.54,207.9866,1
2019-04-29 09:00:00+00:00,48.74,15.37,207.3015,1
2019-04-29 10:00:00+00:00,47.47,9.9,207.0277,1
2019-04-29 11:00:00+00:00,48.84,9.24,206.7542,1
2019-04-29 12:00:00+00:00,47.91,11.94,206.7086,1
2019-04-29 13:00:00+00:00,47.23,10.38,206.7086,1
2019-04-29 14:00:00+00:00,49.52,13.96,206.7086,1
2019-04-29 15:00:00+00:00,47.81,20.74,206.8909,1
2019-04-29 16:00:00+00:00,48.4,12,207.2558,1
2019-04-29 17:00:00+00:00,49.04,13.13,207.2558,1
2019-04-29 18:00:00+00:00,48.69,14.29,206.7998,1
2019-04-29 19:00:00+00:00,49.52,8.72,205.6187,1
2019-04-29 20:00:00+00:00,50.06,12.54,202.0451,1
2019-04-29 21:00:00+00:00,50.5,12.58,198.4626,1
2019-04-29 22:00:00+00:00,49.91,9.51,196.683,1
2019-04-29 23:00:00+00:00,51.67,10.48,201.4636,1
2019-04-30 00:00:00+00:00,49.82,12.32,204.5735,1
2019-04-30 01:00:00+00:00,50.21,7.45,205.2533,1
2019-04-30 02:00:00+00:00,49.96,9.02,204.8451,1
2019-04-30 03:00:00+00:00,50.79,7.31,203.3523,1
2019-04-30 04:00:00+00:00,53.14,10.76,200.7422,1
2019-04-30 05:00:00+00:00,49.33,7.09,198.06,1
2019-04-30 06:00:00+00:00,50.65,13.24,195.3538,1
2019-04-30 07:00:00+00:00,51.97,8.07,192.2285,1
2019-04-30 08:00:00+00:00,51.33,7.65,189.6073,1
2019-04-30 09:00:00+00:00,49.87,8.83,187.8707,1
2019-04-30 10:00:00+00:00,49.23,11.34,186.6602,1
2019-04-30 11:00:00+00:00,49.33,9.09,185.7123,1
2019-04-30 12:00:00+00:00,48.01,10.73,184.7239,1
2019-04-30 13:00:00+00:00,53.24,6.29,183.9096,1
2019-04-30 14:00:00+00:00,48.69,6.38,183.3108,1
2019-04-30 15:00:00+00:00,49.38,9.93,182.713,1
2019-04-30 16:00:00+00:00,48.79,7.14,182.244,1
2019-04-30 17:00:00+00:00,48.74,6.2,181.8183,1
2019-04-30 18:00:00+00:00,47.77,8.55,180.9263,1
2019-04-30 19:00:00+00:00,49.33,8.18,179.6555,1
2019-04-30 20:00:00+00:00,47.62,4.77,178.6845,1
2019-04-30 21:00:00+00:00,50.99,6.63,177.5484,1
2019-04-30 22:00:00+00:00,47.18,7.92,176.3323,1
2019-04-30 23:00:00+00:00,47.81,6.76,175.3291,1
2019-05-01 00:00:00+00:00,47.08,5.69,174.5789,1
2019-05-01 01:00:00+00:00,46.5,7.04,173.9548,1
2019-05-01 02:00:00+00:00,47.28,12.75,173.7471,1
2019-05-01 03:00:00+00:00,47.18,5.96,173.7056,1
2019-05-01 04:00:00+00:00,49.43,6.42,173.6641,1
2019-05-01 05:00:00+00:00,47.28,8.28,174.246,1
2019-05-01 06:00:00+00:00,48.21,5.97,175.0789,1
2019-05-01 07:00:00+00:00,46.69,7.39,175.496,1
2019-05-01 08:00:00+00:00,45.37,8.4,175.7466,1
2019-05-01 09:00:00+00:00,45.13,13.78,175.8301,1
2019-05-01 10:00:00+00:00,44,7.44,175.9974,1
2019-05-01 11:00:00+00:00,44.05,6.99,176.1228,1
2019-05-01 12:00:00+00:00,43.47,8.59,176.1228,1
2019-05-01 13:00:00+00:00,43.96,4.99,176.0392,1
2019-05-01 14:00:00+00:00,43.13,13.45,175.6213,1
2019-05-01 15:00:00+00:00,42.05,9.28,175.2873,1
2019-05-01 16:00:00+00:00,42.44,8.82,175.0788,1
2019-05-01 17:00:00+00:00,42.05,7.28,174.787,1
2019-05-01 18:00:00+00:00,42.44,8.85,174.4123,1
2019-05-01 19:00:00+00:00,41.95,8.06,173.7887,1
2019-05-01 20:00:00+00:00,42.59,7.05,173.0006,1
2019-05-01 21:00:00+00:00,42.2,4.73,172.173,1
2019-05-01 22:00:00+00:00,42,7.66,171.3476,1
2019-05-01 23:00:00+00:00,42.05,6.5,170.2778,1
2019-05-02 00:00:00+00:00,42.83,7.13,169.2933,1
2019-05-02 01:00:00+00:00,42.88,6.28,168.067,1
2019-05-02 02:00:00+00:00,43.32,7.33,166.7238,1
2019-05-02 03:00:00+00:00,42.83,6.57,165.1839,1
2019-05-02 04:00:00+00:00,42.83,8.95,163.6917,1
2019-05-02 05:00:00+00:00,42.88,9.16,162.6075,1
2019-05-02 06:00:00+00:00,42.34,8.34,161.7269,1
2019-05-02 07:00:00+00:00,41.66,9.71,160.7691,1
2019-05-02 08:00:00+00:00,41.12,6.61,159.6954,1
2019-05-02 09:00:00+00:00,40.63,14.47,158.5859,1
2019-05-02 10:00:00+00:00,40.73,6.68,157.5594,1
2019-05-02 11:00:00+00:00,40.29,8.84,156.3401,1
2019-05-02 12:00:00+00:00,39.8,7.13,155.1258,1
2019-05-02 13:00:00+00:00,38.88,8.02,154.2281,1
2019-05-02 14:00:00+00:00,38.68,6.66,153.2167,1
2019-05-02 15:00:00+00:00,38.39,12.07,152.3249,1
2019-05-02 16:00:00+00:00,40.63,9,151.5518,1
2019-05-02 17:00:00+00:00,38.19,9.85,150.6269,1
2019-05-02 18:00:00+00:00,38.14,15.64,149.6665,1
2019-05-02 19:00:00+00:00,37.85,7.12,148.7858,1
2019-05-02 20:00:00+00:00,37.66,7.58,147.9081,1
2019-05-02 21:00:00+00:00,37.36,16.07,147.147,1
2019-05-02 22:00:00+00:00,36.83,8.43,146.2365,1
2019-05-02 23:00:00+00:00,36.87,12.31,145.3666,1
2019-05-03 00:00:00+00:00,36.83,7.97,144.6126,1
2019-05-03 01:00:00+00:00,37.12,7.43,143.8606,1
2019-05-03 02:00:00+00:00,37.36,15.87,143.1108,1
2019-05-03 03:00:00+00:00,38.24,4.32,142.363,1
2019-05-03 04:00:00+00:00,38.05,5.55,141.543,1
2019-05-03 05:00:00+00:00,38.05,4.63,140.7994,1
2019-05-03 06:00:00+00:00,37.56,4.79,140.0582,1
2019-05-03 07:00:00+00:00,37.22,6.79,139.4297,1
2019-05-03 08:00:00+00:00,37.07,11.72,138.8028,1
2019-05-03 09:00:00+00:00,36.19,5.7,137.957,1
2019-05-03 10:00:00+00:00,35.6,4.61,137.1139,1
2019-05-03 11:00:00+00:00,35.26,6.85,136.456,1
2019-05-03 12:00:00+00:00,35.16,5.82,135.7634,1
2019-05-03 13:00:00+00:00,35.07,4.51,135.2906,1
2019-05-03 14:00:00+00:00,35.07,6.59,134.5288,1
2019-05-03 15:00:00+00:00,34.87,4.9,134.022,1
2019-05-03 16:00:00+00:00,34.73,6.46,133.5526,1
2019-05-03 17:00:00+00:00,34.73,13.86,132.8679,1
2019-05-03 18:00:00+00:00,34.73,7.84,132.2928,1
2019-05-03 19:00:00+00:00,34.73,7.75,131.6833,1
2019-05-03 20:00:00+00:00,35.07,4.47,130.968,1
2019-05-03 21:00:00+00:00,35.56,5.27,130.2549,1
2019-05-03 22:00:00+00:00,35.51,7.07,129.4374,1
2019-05-03 23:00:00+00:00,35.36,7.29,128.5167,1
2019-05-04 00:00:00+00:00,35.07,6.52,127.3177,1
2019-05-04 01:00:00+00:00,34.77,3.64,126.3347,1
2019-05-04 02:00:00+00:00,34.73,6.36,125.5303,1
2019-05-04 03:00:00+00:00,34.33,4.18,124.9376,1
2019-05-04 04:00:00+00:00,34.19,12.81,124.4853,1
2019-05-04 05:00:00+00:00,33.94,3.5,123.9646,1
2019-05-04 06:00:00+00:00,33.75,5.82,123.5142,1
2019-05-04 07:00:00+00:00,33.55,5.93,122.9266,1
2019-05-04 08:00:00+00:00,33.36,6.38,122.4784,1
2019-05-04 09:00:00+00:00,33.21,3.53,121.8246,1
2019-05-04 10:00:00+00:00,32.97,5.41,121.207,1
2019-05-04 11:00:00+00:00,32.58,4.85,120.6254,1
2019-05-04 12:00:00+00:00,32.04,4.14,119.9769,1
2019-05-04 13:00:00+00:00,31.26,4.61,119.3305,1
2019-05-04 14:00:00+00:00,30.92,4.05,118.7197,1
2019-05-04 15:00:00+00:00,30.82,9.23,118.1443,1
2019-05-04 16:00:00+00:00,30.57,7.11,117.5705,1
2019-05-04 17:00:00+00:00,30.67,4.19,117.1327,1
2019-05-04 18:00:00+00:00,30.82,3.72,116.7293,1
2019-05-04 19:00:00+00:00,30.92,4.98,116.2598,1
2019-05-04 20:00:00+00:00,30.87,4.07,115.6909,1
2019-05-04 21:00:00+00:00,30.96,3.6,115.1901,1
2019-05-04 22:00:00+00:00,31.01,4.2,114.8237,1
2019-05-04 23:00:00+00:00,30.53,3.28,114.1921,1
2019-05-05 00:00:00+00:00,30.62,8.01,113.5295,1
2019-05-05 01:00:00+00:00,30.67,3.88,112.704,1
2019-05-05 02:00:00+00:00,30.04,3.18,111.7832,1
2019-05-05 03:00:00+00:00,29.79,3.4,110.9644,1
2019-05-05 04:00:00+00:00,29.69,5.66,110.1489,1
2019-05-05 05:00:00+00:00,29.35,3.77,109.3368,1
2019-05-05 06:00:00+00:00,29.3,3.23,108.2694,1
2019-05-05 07:00:00+00:00,29.11,3.17,107.6251,1
2019-05-05 08:00:00+00:00,29.3,5.11,106.8869,1
2019-05-05 09:00:00+00:00,28.23,3.89,106.1514,1
2019-05-05 10:00:00+00:00,27.99,3.59,105.6094,1
2019-05-05 11:00:00+00:00,27.64,3.99,105.2278,1
2019-05-05 12:00:00+00:00,27.45,3.71,105.1007,1
2019-05-05 13:00:00+00:00,27.01,7.76,105.1007,1
2019-05-05 14:00:00+00:00,26.91,4.25,105.1007,1
2019-05-05 15:00:00+00:00,26.67,4.55,104.9737,1
2019-05-05 16:00:00+00:00,26.86,3.64,104.625,1
2019-05-05 17:00:00+00:00,26.57,4.35,104.1506,1
2019-05-05 18:00:00+00:00,26.86,4.67,103.6458,1
2019-05-05 19:00:00+00:00,26.96,6.36,102.8909,1
2019-05-05 20:00:00+00:00,27.5,3.61,102.0764,1
2019-05-05 21:00:00+00:00,27.55,3.9,101.3587,1
2019-05-05 22:00:00+00:00,27.4,5.36,100.7369,1
2019-05-05 23:00:00+00:00,27.74,3.09,100.1171,1
2019-05-06 00:00:00+00:00,27.45,2.94,99.5611,1
2019-05-06 01:00:00+00:00,27.2,4.6,98.88372,1
2019-05-06 02:00:00+00:00,27.2,3.94,98.30067,1
2019-05-06 03:00:00+00:00,27.16,3.87,97.59756,1
2019-05-06 04:00:00+00:00,26.86,4,97.01842,1
2019-05-06 05:00:00+00:00,28.13,7.11,96.53232,1
2019-05-06 06:00:00+00:00,26.86,3.69,96.13828,1
2019-05-06 07:00:00+00:00,26.28,3.12,95.68477,1
2019-05-06 08:00:00+00:00,26.13,4.38,95.20225,1
2019-05-06 09:00:00+00:00,25.49,3.84,94.69105,1
2019-05-06 10:00:00+00:00,25.2,4.77,94.15124,1
2019-05-06 11:00:00+00:00,24.57,3.18,93.79234,1
2019-05-06 12:00:00+00:00,24.62,3.74,93.64296,1
2019-05-06 13:00:00+00:00,24.13,7.01,93.70271,1
2019-05-06 14:00:00+00:00,24.13,5.52,94.39127,1
2019-05-06 15:00:00+00:00,23.44,3.79,95.56445,1
2019-05-06 16:00:00+00:00,23.25,4.52,96.65396,1
2019-05-06 17:00:00+00:00,24.03,6.86,97.44484,1
2019-05-06 18:00:00+00:00,23.98,3.98,97.84165,1
2019-05-06 19:00:00+00:00,24.27,3.82,97.99447,1
2019-05-06 20:00:00+00:00,24.47,5.4,97.78055,1
2019-05-06 21:00:00+00:00,24.62,4.03,97.4753,1
2019-05-06 22:00:00+00:00,24.62,4.76,96.83609,1
2019-05-06 23:00:00+00:00,25.05,5.11,96.25951,1
2019-05-07 00:00:00+00:00,25.1,12.32,95.65462,1
2019-05-07 01:00:00+00:00,25.59,5.58,95.05177,1
2019-05-07 02:00:00+00:00,25.64,4.99,94.30114,1
2019-05-07 03:00:00+00:00,25.54,5,93.70277,1
2019-05-07 04:00:00+00:00,25.79,5.42,93.40431,1
2019-05-07 05:00:00+00:00,25.74,5.97,93.07673,1
