station_id,datetime,pH,Conductivity_mS_m,SPM_mg_L,TOC_mgC_L,Turbiditet_NTU,PO4_ug_L,TP_ug_L,NO3_ug_L,NH4_ug_L,TN_ug_L,Si_mg_L,Ca_mg_L,DOC_mg_L,PartC_ug_L,PartN_ug_L,TDP_ug_L,sampling
Malselv_E6,2/15/21 10:00,7.28,7.12,1.32,1.1,0.75,NA,5,86,35,200,1.3,8.79,1.1,484,78.4,NA,monthly
Malselv_E6,03.01.2021 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monthly
Malselv_E6,04.06.2021 09:15,7.19,9.18,6.25,6,3.3,16,NA,100,67,770,1.08,8.9,3.2,1672,195.5,NA,monthly
Malselv_E6,05.03.2021 07:30,7.47,7.86,1.65,1.4,0.6,4,11,72,32,430,1.19,9.67,1.4,158,23.5,NA,monthly
Malselv_E6,06.07.2021 12:00,7.44,5.91,8.2,1.3,3,7,8,26,NA,85,2.37,8.72,1.3,231,20.6,NA,monthly
Malselv_E6,07.05.2021 12:15,7.52,6.13,2.71,0.65,0.73,2,3,18,NA,44,0.823,7.89,0.64,183,24,NA,monthly
Malselv_E6,08.02.2021 10:00,7.53,7.51,1.05,0.77,0.64,NA,2,23,NA,71,0.914,8.43,0.78,150,13,NA,monthly
Malselv_E6,09.06.2021 13:10,7.7,7.29,0.88,1.1,0.61,1,4,19,3,60,1.01,10.8,1.1,276,14.5,NA,monthly
Malselv_E6,10.04.2021 12:00,7.79,9.62,4.73,0.8,0.78,2,3,42,2,87,1.14,12.9,0.78,251,29.2,NA,monthly
Malselv_E6,11.01.2021 11:30,7.65,7.65,1.52,1,0.4,1,3,44,4,580,1.26,10.2,1.1,129,21.4,NA,monthly
Malselv_E6,12.06.2021 10:30,7.76,8.65,0.22,0.82,NA,NA,1,57,5,110,1.39,11.7,0.79,59.2,6.08,NA,monthly
Malselv_E6,05.17.2019  13:30:00,7.35,9.5,NA,NA,NA,1.2,NA,106,14,NA,1.18,NA,2.5,NA,NA,NA,freshet_extra
Malselv_E6,05.19.2019  10:00:00,0.08,6.4,NA,NA,NA,1.2,NA,76,11,NA,1.08,NA,2.72,NA,NA,NA,freshet_extra
Malselv_E6,05.21.2019  11:20:00,7.29,5.3,26.2,NA,NA,1.2,NA,54,12,NA,0.96,NA,2.315,NA,NA,NA,freshet_extra
Malselv_E6,05.24.2019  10:30:00,NA,8.1,NA,NA,NA,1.3,NA,66,40,NA,0.98,NA,2.038,NA,NA,NA,freshet_extra
Malselv_E6,05.29.2019  10:50:00,NA,9.2,3.7,NA,NA,0.8,NA,72,9,NA,0.95,NA,1.797,NA,NA,NA,freshet_extra
Malselv_E6,05.31.2019  11:10:00,NA,5.8,11.4,NA,NA,0.8,NA,50,13,NA,0.88,NA,2.129,NA,NA,NA,freshet_extra
Malselv_E6,06.08.2019 15:57,7.07,3.6,60.4,NA,NA,1.3,NA,45,14,NA,0.7,NA,1.446,NA,NA,NA,freshet_extra
Malselv_E6,06.11.2019 10:00,NA,NA,NA,NA,NA,4.6,NA,54,17,NA,0.89,NA,1.867,NA,NA,NA,freshet_extra
Malselv_E6,06.20.2019  10:00:00,7.64,6.95,4.8,NA,NA,1,NA,51,6,NA,0.78,NA,1.185,NA,NA,NA,freshet_extra
