datetime,value,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,unit,correction,quality
2015-03-23 11:00:00+00:00,10.11704,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-24 11:00:00+00:00,9.62493,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-25 11:00:00+00:00,9.381685,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-26 11:00:00+00:00,9.979108,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-27 11:00:00+00:00,10.29458,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-28 11:00:00+00:00,10.32139,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-29 11:00:00+00:00,12.81239,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-30 11:00:00+00:00,17.12013,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-31 11:00:00+00:00,18.83179,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-01 11:00:00+00:00,17.08747,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-02 11:00:00+00:00,15.23402,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-03 11:00:00+00:00,13.64134,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-04 11:00:00+00:00,12.5076,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-05 11:00:00+00:00,11.59081,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-06 11:00:00+00:00,10.89189,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-07 11:00:00+00:00,10.63642,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-08 11:00:00+00:00,10.96333,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-09 11:00:00+00:00,10.94844,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-10 11:00:00+00:00,10.35962,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-11 11:00:00+00:00,9.665812,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-12 11:00:00+00:00,9.163157,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-13 11:00:00+00:00,8.675994,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-14 11:00:00+00:00,8.256111,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-15 11:00:00+00:00,7.983089,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-16 11:00:00+00:00,7.737674,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-17 11:00:00+00:00,7.246857,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-04-18 11:00:00+00:00,6.725784,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
