Date,variable,concentration_linear,daily_flux_linear,concentration_logqc,daily_flux_logqc,concentration_sensor,daily_flux_sensor,concentration_qc,daily_flux_qc
2/26/17,SPM,0.79,1810.42,2.57,5900.26,3.22,307.68,1.11,2554.14
2/26/17,DOC,0.90,2062.50,1.04,2384.08,1.19,113.47,1.32,3025.35
2/27/17,SPM,0.79,1813.93,2.52,5790.06,3.22,308.28,1.12,2560.92
2/27/17,DOC,0.90,2066.51,1.04,2385.89,1.19,113.69,1.32,3031.43
2/28/17,SPM,0.79,1817.45,2.47,5682.13,3.22,308.88,1.12,2567.71
2/28/17,DOC,0.90,2070.51,1.04,2387.69,1.19,113.91,1.32,3037.51
3/1/17,SPM,0.79,1820.96,2.42,5576.45,3.22,309.47,1.12,2574.50
3/1/17,DOC,0.90,2074.51,1.04,2389.49,1.19,114.13,1.32,3043.58
3/2/17,SPM,0.79,1824.47,2.37,5472.89,3.22,310.07,1.12,2581.31
3/2/17,DOC,0.90,2078.51,1.04,2391.29,1.19,114.35,1.32,3049.66
3/3/17,SPM,0.79,1828.37,2.32,5360.32,3.22,310.73,1.12,2588.87
3/3/17,DOC,0.90,2082.96,1.03,2393.28,1.19,114.59,1.32,3056.42
3/4/17,SPM,0.79,1831.88,2.27,5261.21,3.22,311.33,1.12,2595.69
3/4/17,DOC,0.90,2086.96,1.03,2395.08,1.19,114.81,1.32,3062.50
3/5/17,SPM,0.79,1835.40,2.22,5164.09,3.22,311.93,1.12,2602.51
3/5/17,DOC,0.90,2090.96,1.03,2396.87,1.19,115.03,1.32,3068.58
3/6/17,SPM,0.79,1838.91,2.18,5068.97,3.22,312.52,1.12,2609.34
3/6/17,DOC,0.90,2094.96,1.03,2398.66,1.19,115.25,1.32,3074.66
3/7/17,SPM,0.79,1842.42,2.13,4975.75,3.22,313.12,1.12,2616.18
3/7/17,DOC,0.90,2098.96,1.03,2400.45,1.19,115.47,1.32,3080.74
3/8/17,SPM,0.79,1845.93,2.09,4884.45,3.22,313.72,1.12,2623.03
3/8/17,DOC,0.90,2102.96,1.03,2402.23,1.19,115.69,1.32,3086.82
3/9/17,SPM,0.79,1849.84,2.04,4785.14,3.22,314.38,1.12,2630.64
3/9/17,DOC,0.90,2107.41,1.03,2404.21,1.19,115.94,1.32,3093.59
3/10/17,SPM,0.79,1853.35,2.00,4697.65,3.22,314.98,1.12,2637.50
3/10/17,DOC,0.90,2111.41,1.03,2405.99,1.19,116.16,1.32,3099.67
3/11/17,SPM,0.79,1856.86,1.96,4611.96,3.22,315.58,1.13,2644.37
3/11/17,DOC,0.90,2115.41,1.02,2407.77,1.19,116.38,1.32,3105.76
3/12/17,SPM,0.79,1860.25,1.92,4530.89,3.22,316.15,1.13,2651.00
3/12/17,DOC,0.90,2119.27,1.02,2409.49,1.19,116.59,1.32,3111.63
3/13/17,SPM,0.79,1823.75,2.38,5494.02,3.22,309.95,1.12,2579.91
3/13/17,DOC,0.90,2077.69,1.04,2390.92,1.19,114.30,1.32,3048.41
3/14/17,SPM,0.79,1758.36,3.52,7836.24,3.22,298.84,1.10,2454.47
3/14/17,DOC,0.90,2003.20,1.06,2357.08,1.19,110.20,1.32,2935.39
3/15/17,SPM,0.79,1768.59,3.31,7406.36,3.22,300.57,1.11,2473.93
3/15/17,DOC,0.90,2014.85,1.06,2362.42,1.19,110.85,1.32,2953.05
3/16/17,SPM,0.79,1724.09,4.35,9489.32,3.22,293.01,1.09,2389.71
3/16/17,DOC,0.90,1964.16,1.07,2339.03,1.19,108.06,1.32,2876.27
3/17/17,SPM,0.79,1699.78,5.06,10895.29,3.22,288.88,1.09,2344.16
3/17/17,DOC,0.90,1936.45,1.08,2326.10,1.19,106.53,1.32,2834.35
3/18/17,SPM,0.79,1707.71,4.82,10412.98,3.22,290.23,1.09,2358.98
3/18/17,DOC,0.90,1945.49,1.08,2330.33,1.19,107.03,1.32,2848.02
3/19/17,SPM,0.79,1655.30,6.73,14100.26,3.22,281.32,1.08,2261.73
3/19/17,DOC,0.90,1885.79,1.10,2302.14,1.19,103.75,1.32,2757.81
3/20/17,SPM,0.79,1697.70,5.13,11025.74,3.22,288.53,1.09,2340.28
3/20/17,DOC,0.90,1934.08,1.08,2324.99,1.19,106.40,1.32,2830.77
3/21/17,SPM,0.79,1741.30,3.91,8615.67,3.22,295.94,1.10,2422.15
3/21/17,DOC,0.90,1983.76,1.07,2348.12,1.19,109.14,1.32,2905.94
3/22/17,SPM,0.79,1750.00,3.71,8207.93,3.22,297.42,1.10,2438.61
3/22/17,DOC,0.90,1993.67,1.06,2352.70,1.19,109.68,1.32,2920.96
3/23/17,SPM,0.79,1663.47,6.38,13441.37,3.22,282.71,1.08,2276.78
3/23/17,DOC,0.90,1895.09,1.10,2306.57,1.19,104.26,1.32,2771.85
3/24/17,SPM,0.79,1605.73,6.87,13963.72,3.22,272.90,1.07,2171.19
3/24/17,DOC,0.90,1829.31,1.10,2235.82,1.19,100.64,1.31,2672.63
3/25/17,SPM,0.79,1571.90,6.87,13669.54,3.22,267.15,1.06,2110.21
3/25/17,DOC,0.90,1790.77,1.10,2188.72,1.19,98.52,1.31,2614.60
3/26/17,SPM,0.79,1523.68,6.87,13250.20,3.22,258.95,1.05,2024.43
3/26/17,DOC,0.90,1735.83,1.10,2121.58,1.19,95.50,1.31,2532.01
3/27/17,SPM,0.79,1533.57,6.87,13336.21,3.22,260.63,1.05,2041.91
3/27/17,DOC,0.90,1747.10,1.10,2135.35,1.19,96.12,1.31,2548.93
3/28/17,SPM,0.79,1579.90,6.87,13739.09,3.22,268.51,1.06,2124.57
3/28/17,DOC,0.90,1799.88,1.10,2199.85,1.19,99.02,1.31,2628.31
3/29/17,SPM,0.79,1563.10,6.87,13593.03,3.22,265.65,1.06,2094.46
3/29/17,DOC,0.90,1780.75,1.10,2176.47,1.19,97.97,1.31,2599.52
3/30/17,SPM,0.79,1634.50,6.87,14213.93,3.22,277.79,1.07,2223.57
3/30/17,DOC,0.90,1862.09,1.10,2275.88,1.19,102.44,1.32,2722.04
3/31/17,SPM,0.79,1686.09,5.52,11786.72,3.22,286.55,1.09,2318.67
3/31/17,DOC,0.90,1920.86,1.09,2318.77,1.19,105.67,1.32,2810.78
4/1/17,SPM,0.79,1768.56,3.31,7407.79,3.22,300.57,1.11,2473.87
4/1/17,DOC,0.90,2014.81,1.06,2362.40,1.19,110.84,1.32,2952.99
4/2/17,SPM,0.79,1725.99,4.30,9388.57,3.22,293.33,1.10,2393.27
4/2/17,DOC,0.90,1966.32,1.07,2340.04,1.19,108.18,1.32,2879.53
4/3/17,SPM,0.79,1660.93,6.49,13641.97,3.22,282.28,1.08,2272.11
4/3/17,DOC,0.90,1892.20,1.10,2305.20,1.19,104.10,1.32,2767.49
4/4/17,SPM,0.79,1578.46,6.87,13726.63,3.22,268.26,1.06,2121.99
4/4/17,DOC,0.90,1798.25,1.10,2197.86,1.19,98.93,1.31,2625.85
4/5/17,SPM,0.79,1765.54,3.37,7531.79,3.22,300.06,1.10,2468.12
4/5/17,DOC,0.90,2011.38,1.06,2360.83,1.19,110.65,1.32,2947.78
4/6/17,SPM,0.79,1913.45,1.42,3444.16,3.22,325.19,1.14,2755.98
4/6/17,DOC,0.90,2179.88,1.01,2436.16,1.19,119.92,1.32,3203.92
4/7/17,SPM,0.79,2086.68,3.47,9156.22,3.22,354.63,1.18,3109.05
4/7/17,DOC,0.90,2377.23,2.23,5897.44,1.19,130.78,1.33,3505.70
4/8/17,SPM,0.79,2134.69,5.72,15461.79,3.22,362.79,1.19,3209.95
4/8/17,DOC,0.90,2431.93,3.01,8121.41,1.19,133.79,1.33,3589.69
4/9/17,SPM,0.79,2143.01,5.19,14073.76,3.22,364.21,1.19,3227.58
4/9/17,DOC,0.90,2441.41,2.80,7605.08,1.19,134.31,1.33,3604.27
4/10/17,SPM,0.79,2316.43,2.13,6239.31,3.22,393.68,1.23,3603.85
4/10/17,DOC,0.90,2638.97,1.08,3171.56,1.19,145.18,1.33,3908.97
4/11/17,SPM,0.79,2285.94,1.82,5265.00,3.22,388.50,1.22,3536.44
4/11/17,DOC,0.90,2604.23,1.10,3182.95,1.19,143.27,1.33,3855.25
4/12/17,SPM,0.79,2200.08,2.68,7456.95,3.22,373.91,1.20,3349.50
4/12/17,DOC,0.90,2506.42,1.75,4880.49,1.19,137.89,1.33,3704.32
4/13/17,SPM,0.79,2209.04,2.42,6759.84,3.22,375.43,1.20,3368.79
4/13/17,DOC,0.90,2516.62,1.63,4557.18,1.19,138.45,1.33,3720.04
4/14/17,SPM,0.79,2126.57,6.19,16668.92,3.22,361.41,1.19,3192.80
4/14/17,DOC,0.90,2422.68,3.18,8565.35,1.19,133.28,1.33,3575.48
4/15/17,SPM,0.79,2093.72,3.84,10186.54,3.22,355.83,1.18,3123.77
4/15/17,DOC,0.90,2385.26,2.38,6302.48,1.19,131.22,1.33,3518.02
4/16/17,SPM,0.79,2090.50,3.67,9701.64,3.22,355.28,1.18,3117.03
4/16/17,DOC,0.90,2381.58,2.31,6113.88,1.19,131.02,1.33,3512.38
4/17/17,SPM,0.79,2002.28,0.98,2480.24,3.22,340.29,1.16,2934.88
4/17/17,DOC,0.90,2281.08,1.03,2614.10,1.19,125.49,1.33,3358.43
4/18/17,SPM,0.79,1854.01,1.99,4681.41,3.22,315.09,1.12,2638.79
4/18/17,DOC,0.90,2112.16,1.03,2406.33,1.19,116.20,1.32,3100.81
4/19/17,SPM,0.79,1768.14,3.32,7424.84,3.22,300.50,1.10,2473.07
4/19/17,DOC,0.90,2014.34,1.06,2362.18,1.19,110.82,1.32,2952.27
4/20/17,SPM,0.79,1731.38,4.16,9107.96,3.22,294.25,1.10,2403.43
4/20/17,DOC,0.90,1972.46,1.07,2342.89,1.19,108.51,1.32,2888.83
4/21/17,SPM,0.79,1720.67,4.44,9674.77,3.22,292.43,1.09,2383.27
4/21/17,DOC,0.90,1960.25,1.07,2337.22,1.19,107.84,1.32,2870.36
4/22/17,SPM,0.79,1701.08,5.02,10814.28,3.22,289.10,1.09,2346.60
4/22/17,DOC,0.90,1937.94,1.08,2326.79,1.19,106.61,1.32,2836.60
4/23/17,SPM,0.79,1826.48,2.34,5414.67,3.22,310.41,1.12,2585.20
4/23/17,DOC,0.90,2080.80,1.03,2392.31,1.19,114.47,1.32,3053.14
4/24/17,SPM,0.79,1753.43,3.63,8053.43,3.22,298.00,1.10,2445.10
4/24/17,DOC,0.90,1997.57,1.06,2354.49,1.19,109.90,1.32,2926.87
4/25/17,SPM,0.79,1725.75,4.30,9401.19,3.22,293.29,1.10,2392.82
4/25/17,DOC,0.90,1966.04,1.07,2339.91,1.19,108.16,1.32,2879.12
4/26/17,SPM,0.79,1745.46,3.81,8418.13,3.22,296.64,1.10,2430.01
4/26/17,DOC,0.90,1988.50,1.06,2350.31,1.19,109.40,1.32,2913.12
4/27/17,SPM,0.79,1719.42,4.48,9743.30,3.22,292.22,1.09,2380.93
4/27/17,DOC,0.90,1958.83,1.07,2336.56,1.19,107.76,1.32,2868.20
4/28/17,SPM,0.79,1630.40,6.87,14178.32,3.22,277.09,1.07,2216.08
4/28/17,DOC,0.90,1857.42,1.10,2270.18,1.19,102.18,1.32,2715.01
4/29/17,SPM,0.79,1568.86,6.87,13643.14,3.22,266.63,1.06,2104.77
4/29/17,DOC,0.90,1787.31,1.10,2184.49,1.19,98.33,1.31,2609.39
4/30/17,SPM,0.79,1614.53,6.87,14040.25,3.22,274.39,1.07,2187.16
4/30/17,DOC,0.90,1839.33,1.10,2248.08,1.19,101.19,1.32,2687.74
5/1/17,SPM,0.79,1648.86,6.87,14338.81,3.22,280.23,1.08,2249.89
5/1/17,DOC,0.90,1878.45,1.10,2295.88,1.19,103.34,1.32,2746.73
5/2/17,SPM,0.79,1898.98,1.54,3707.98,3.22,322.73,1.13,2727.27
5/2/17,DOC,0.90,2163.40,1.01,2428.95,1.19,119.02,1.32,3178.81
5/3/17,SPM,0.79,2130.78,5.99,16162.37,3.22,362.13,1.19,3201.68
5/3/17,DOC,0.90,2427.47,3.11,8376.68,1.19,133.55,1.33,3582.85
5/4/17,SPM,0.79,2242.61,1.65,4694.62,3.22,381.13,1.21,3441.57
5/4/17,DOC,0.90,2554.87,1.24,3532.82,1.19,140.55,1.33,3779.03
5/5/17,SPM,0.79,3468.27,1.39,6123.10,2.21,403.74,1.49,6540.41
5/5/17,DOC,0.90,3951.19,0.96,4232.45,1.05,192.04,1.36,5982.30
5/6/17,SPM,0.79,6004.03,0.98,7438.24,2.59,821.02,2.06,15684.34
5/6/17,DOC,0.90,6840.03,0.98,7452.73,1.76,556.43,1.43,10850.14
5/7/17,SPM,0.79,6097.10,0.94,7281.80,2.86,920.83,2.08,16090.05
5/7/17,DOC,0.90,6946.06,0.97,7500.54,1.55,498.15,1.43,11036.75
5/8/17,SPM,0.79,5103.66,2.55,16456.92,2.39,644.57,1.86,12015.76
5/8/17,DOC,0.90,5814.30,1.56,10071.65,1.07,287.91,1.40,9073.96
5/9/17,SPM,0.79,4450.28,2.11,11885.53,2.17,509.21,1.71,9644.40
5/9/17,DOC,0.90,5069.94,1.41,7925.77,1.10,259.31,1.39,7817.95
5/10/17,SPM,0.79,3993.38,0.76,3830.42,2.05,432.69,1.61,8131.46
5/10/17,DOC,0.90,4549.42,1.18,5957.89,1.27,267.31,1.38,6956.09
5/11/17,SPM,0.79,3863.41,0.75,3685.81,2.12,431.72,1.58,7722.94
5/11/17,DOC,0.90,4401.35,1.34,6540.31,1.57,320.26,1.37,6713.40
5/12/17,SPM,0.79,3583.57,1.59,7233.21,2.07,390.76,1.52,6876.22
5/12/17,DOC,0.90,4082.54,1.23,5588.77,1.44,272.66,1.37,6194.58
5/13/17,SPM,0.79,3450.09,1.37,5961.34,2.14,389.18,1.49,6488.16
5/13/17,DOC,0.90,3930.48,1.02,4444.11,1.28,232.07,1.36,5948.91
5/14/17,SPM,0.79,3611.70,1.65,7527.17,2.06,393.24,1.52,6959.30
5/14/17,DOC,0.90,4114.59,1.39,6349.08,1.27,241.09,1.37,6246.51
5/15/17,SPM,0.79,3399.92,1.29,5532.62,2.14,383.83,1.47,6344.94
5/15/17,DOC,0.90,3873.32,1.18,5091.74,1.41,252.97,1.36,5856.87
5/16/17,SPM,0.79,3506.42,1.46,6474.09,2.09,386.86,1.50,6650.69
5/16/17,DOC,0.90,3994.66,0.88,3918.69,1.08,199.13,1.36,6052.45
5/17/17,SPM,0.79,3995.17,0.76,3832.42,2.05,432.40,1.61,8137.15
5/17/17,DOC,0.90,4551.46,1.18,5950.38,1.27,266.67,1.38,6959.44
5/18/17,SPM,0.79,5953.45,1.00,7525.70,2.45,767.89,2.05,15465.95
5/18/17,DOC,0.90,6782.42,0.99,7426.57,1.87,587.25,1.43,10748.97
5/19/17,SPM,0.79,9089.58,2.91,33445.36,2.10,1009.01,2.76,31780.24
5/19/17,DOC,0.90,10355.22,1.03,11821.95,1.14,547.99,1.51,17336.17
5/20/17,SPM,0.79,10263.45,1.02,13268.02,2.13,1151.82,3.03,39336.27
5/20/17,DOC,0.90,11692.53,0.88,11418.88,1.15,621.57,1.54,19965.93
5/21/17,SPM,0.79,11472.76,18.12,263151.93,2.18,1321.91,3.30,47946.26
5/21/17,DOC,0.90,13070.24,3.36,48734.15,1.17,710.79,1.57,22768.64
5/22/17,SPM,0.79,12884.07,4.87,79473.75,2.18,1483.49,3.62,59054.01
5/22/17,DOC,0.90,14678.06,1.31,21429.91,1.17,794.38,1.60,26159.48
5/23/17,SPM,0.79,15974.12,4.06,82171.36,2.18,1839.28,4.32,87359.43
5/23/17,DOC,0.90,18198.36,1.29,26098.26,1.17,984.90,1.68,34034.98
5/24/17,SPM,0.79,14157.64,4.78,85737.08,2.18,1630.13,3.91,70057.31
5/24/17,DOC,0.90,16128.96,0.95,17061.50,1.17,872.90,1.64,29330.32
5/25/17,SPM,0.79,13576.45,4.82,82893.08,2.18,1563.21,3.78,64920.66
5/25/17,DOC,0.90,15466.84,1.10,18881.80,1.17,837.07,1.62,27870.25
5/26/17,SPM,0.79,15519.48,4.36,85641.29,2.18,1786.93,4.22,82851.55
5/26/17,DOC,0.90,17680.42,1.02,20085.31,1.17,956.87,1.67,32837.38
5/27/17,SPM,0.79,13495.20,4.83,82493.63,2.18,1553.85,3.76,64218.01
5/27/17,DOC,0.90,15374.28,1.12,19157.89,1.17,832.06,1.62,27667.88
5/28/17,SPM,0.79,12645.86,4.89,78289.11,2.18,1456.06,3.57,57099.11
5/28/17,DOC,0.90,14406.68,1.40,22419.23,1.17,779.69,1.60,25578.08
5/29/17,SPM,0.79,11584.60,15.38,225548.04,2.18,1333.87,3.33,48784.85
5/29/17,DOC,0.90,13197.65,3.03,44478.68,1.17,714.26,1.57,23032.63
5/30/17,SPM,0.79,10336.04,1.02,13280.33,2.14,1166.42,3.04,39829.47
5/30/17,DOC,0.90,11775.23,0.90,11806.62,1.15,626.11,1.54,20131.49
5/31/17,SPM,0.79,9390.73,2.01,23848.47,2.06,1019.00,2.83,33643.42
5/31/17,DOC,0.90,10698.30,0.93,11047.55,1.17,577.02,1.51,18002.30
6/1/17,SPM,0.79,8853.18,3.17,35519.98,2.13,992.61,2.71,30354.04
6/1/17,DOC,0.90,10085.90,1.05,11715.61,1.13,528.11,1.50,16817.37
6/2/17,SPM,0.79,8734.74,1.86,20609.25,2.17,998.48,2.68,29651.58
6/2/17,DOC,0.90,9950.97,0.89,9817.93,1.13,520.48,1.50,16558.83
6/3/17,SPM,0.79,9193.52,2.55,29723.57,2.11,1024.29,2.79,32417.42
