,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,datetime,value,unit,correction,quality
71,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-13 11:00:00+00:00,19.64451,m³/s,0,3
72,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-14 11:00:00+00:00,22.42109,m³/s,0,3
73,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-15 11:00:00+00:00,22.48636,m³/s,0,3
74,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-16 11:00:00+00:00,19.2816,m³/s,0,3
75,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-17 11:00:00+00:00,17.38431,m³/s,0,3
76,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-18 11:00:00+00:00,16.66613,m³/s,0,3
77,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-19 11:00:00+00:00,18.5479,m³/s,0,3
78,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-20 11:00:00+00:00,18.79745,m³/s,0,3
79,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-21 11:00:00+00:00,16.81541,m³/s,0,3
80,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-22 11:00:00+00:00,15.59386,m³/s,0,3
81,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-23 11:00:00+00:00,15.57511,m³/s,0,3
82,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-24 11:00:00+00:00,17.11656,m³/s,0,3
83,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-25 11:00:00+00:00,17.69574,m³/s,0,3
84,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-26 11:00:00+00:00,17.2457,m³/s,0,3
85,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-27 11:00:00+00:00,17.76817,m³/s,0,3
86,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-28 11:00:00+00:00,17.20127,m³/s,0,3
87,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-29 11:00:00+00:00,16.6621,m³/s,0,3
88,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-30 11:00:00+00:00,14.96171,m³/s,0,3
89,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-31 11:00:00+00:00,15.2985,m³/s,0,3
90,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-01 11:00:00+00:00,15.67956,m³/s,0,3
91,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-02 11:00:00+00:00,15.53546,m³/s,0,3
92,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-03 11:00:00+00:00,15.7925,m³/s,0,3
93,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-04 11:00:00+00:00,15.9109,m³/s,0,3
94,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-05 11:00:00+00:00,16.22745,m³/s,0,3
95,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-06 11:00:00+00:00,15.26667,m³/s,0,3
96,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-07 11:00:00+00:00,15.63972,m³/s,11,3
97,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-08 11:00:00+00:00,17.72991,m³/s,11,3
98,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-09 11:00:00+00:00,19.33826,m³/s,11,3
99,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-10 11:00:00+00:00,19.1843,m³/s,11,3
100,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-11 11:00:00+00:00,18.27437,m³/s,11,3
101,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-12 11:00:00+00:00,16.76247,m³/s,11,3
102,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-13 11:00:00+00:00,16.61985,m³/s,11,3
103,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-14 11:00:00+00:00,19.38972,m³/s,11,3
104,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-15 11:00:00+00:00,20.27579,m³/s,11,3
105,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-16 11:00:00+00:00,20.0654,m³/s,11,3
106,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-17 11:00:00+00:00,20.0654,m³/s,11,3
107,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-18 11:00:00+00:00,19.96065,m³/s,11,3
108,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-19 11:00:00+00:00,23.2879,m³/s,11,3
109,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-20 11:00:00+00:00,31.03498,m³/s,11,3
110,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-21 11:00:00+00:00,44.18442,m³/s,11,3
111,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-22 11:00:00+00:00,62.11552,m³/s,11,3
112,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-23 11:00:00+00:00,56.7772,m³/s,11,3
113,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-24 11:00:00+00:00,48.36271,m³/s,11,3
114,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-25 11:00:00+00:00,43.15156,m³/s,11,3
115,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-26 11:00:00+00:00,37.59316,m³/s,11,3
116,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-27 11:00:00+00:00,34.86116,m³/s,11,3
117,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-28 11:00:00+00:00,32.17141,m³/s,11,3
118,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-29 11:00:00+00:00,28.25767,m³/s,11,3
119,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-04-30 11:00:00+00:00,27.13627,m³/s,11,3
120,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-01 11:00:00+00:00,26.64565,m³/s,11,3
121,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-02 11:00:00+00:00,27.19794,m³/s,11,3
122,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-03 11:00:00+00:00,28.38377,m³/s,11,3
123,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-04 11:00:00+00:00,27.75628,m³/s,11,3
124,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-05 11:00:00+00:00,28.06909,m³/s,11,3
125,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-06 11:00:00+00:00,33.26095,m³/s,11,3
126,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-07 11:00:00+00:00,68.11307,m³/s,11,3
127,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-08 11:00:00+00:00,98.72998,m³/s,11,3
128,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-09 11:00:00+00:00,115.6574,m³/s,11,3
129,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-10 11:00:00+00:00,133.3,m³/s,11,3
130,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-11 11:00:00+00:00,131.0036,m³/s,11,3
131,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-12 11:00:00+00:00,124.2421,m³/s,11,3
132,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-13 11:00:00+00:00,138.9869,m³/s,11,3
133,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-14 11:00:00+00:00,153.0612,m³/s,11,3
134,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-15 11:00:00+00:00,128.4456,m³/s,11,3
135,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-16 11:00:00+00:00,102.0762,m³/s,11,3
136,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-17 11:00:00+00:00,89.28038,m³/s,11,3
137,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-18 11:00:00+00:00,85.02878,m³/s,11,3
138,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-19 11:00:00+00:00,86.85372,m³/s,11,3
139,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-20 11:00:00+00:00,80.00691,m³/s,11,3
140,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-21 11:00:00+00:00,92.45293,m³/s,11,3
141,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-22 11:00:00+00:00,103.3307,m³/s,11,3
142,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-23 11:00:00+00:00,119.4323,m³/s,11,3
143,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-24 11:00:00+00:00,121.2069,m³/s,11,3
144,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-25 11:00:00+00:00,100.5817,m³/s,11,3
145,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-26 11:00:00+00:00,92.33437,m³/s,11,3
146,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-27 11:00:00+00:00,106.6306,m³/s,11,3
147,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-28 11:00:00+00:00,147.3749,m³/s,11,3
148,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-29 11:00:00+00:00,201.8189,m³/s,11,3
149,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-30 11:00:00+00:00,240.1199,m³/s,11,3
150,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-05-31 11:00:00+00:00,273.0349,m³/s,11,3
151,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-01 11:00:00+00:00,330.2818,m³/s,11,3
152,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-02 11:00:00+00:00,402.9506,m³/s,11,3
153,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-03 11:00:00+00:00,403.9925,m³/s,11,3
154,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-04 11:00:00+00:00,343.2907,m³/s,11,3
155,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-05 11:00:00+00:00,290.2322,m³/s,11,3
156,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-06 11:00:00+00:00,247.8861,m³/s,11,3
157,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-07 11:00:00+00:00,212.215,m³/s,11,3
158,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-08 11:00:00+00:00,189.9547,m³/s,11,3
159,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-09 11:00:00+00:00,178.4736,m³/s,11,3
160,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-10 11:00:00+00:00,183.7383,m³/s,11,3
161,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-11 11:00:00+00:00,196.1046,m³/s,11,3
162,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-12 11:00:00+00:00,175.7883,m³/s,11,3
163,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-13 11:00:00+00:00,151.6675,m³/s,11,3
164,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-14 11:00:00+00:00,134.8912,m³/s,11,3
165,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-15 11:00:00+00:00,127.0361,m³/s,11,3
166,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-16 11:00:00+00:00,141.9525,m³/s,11,3
167,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-17 11:00:00+00:00,164.7795,m³/s,11,3
168,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-18 11:00:00+00:00,163.3296,m³/s,11,3
169,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-19 11:00:00+00:00,166.3985,m³/s,11,3
170,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-20 11:00:00+00:00,164.4567,m³/s,11,3
171,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-21 11:00:00+00:00,162.0466,m³/s,11,3
172,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-22 11:00:00+00:00,182.0311,m³/s,11,3
173,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-23 11:00:00+00:00,225.3644,m³/s,11,3
174,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-24 11:00:00+00:00,362.4467,m³/s,11,3
175,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-25 11:00:00+00:00,381.1477,m³/s,11,3
176,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-26 11:00:00+00:00,395.1815,m³/s,11,3
177,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-27 11:00:00+00:00,327.9453,m³/s,11,3
178,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-28 11:00:00+00:00,265.8958,m³/s,11,3
179,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-29 11:00:00+00:00,246.2823,m³/s,11,3
180,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-06-30 11:00:00+00:00,218.3614,m³/s,11,3
181,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-01 11:00:00+00:00,195.0429,m³/s,11,3
182,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-02 11:00:00+00:00,183.0544,m³/s,11,3
183,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-03 11:00:00+00:00,269.4527,m³/s,11,3
184,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-04 11:00:00+00:00,297.4897,m³/s,11,3
185,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-05 11:00:00+00:00,250.3023,m³/s,11,3
186,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-06 11:00:00+00:00,204.1654,m³/s,11,3
187,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-07 11:00:00+00:00,255.1722,m³/s,11,3
188,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-08 11:00:00+00:00,239.1338,m³/s,11,3
189,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-09 11:00:00+00:00,232.8739,m³/s,11,3
190,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-10 11:00:00+00:00,280.0608,m³/s,11,3
191,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-11 11:00:00+00:00,269.8729,m³/s,11,3
192,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-07-12 11:00:00+00:00,221.9428,m³/s,11,3
