sample_date,Ca,Cl,DOC,K,Konduktivitet,Mg,NH4-N,NO3-N,Na,N_Part,TRP,POC,SO4,Si,SiO2,TOC,TOTN,TP,TDP,PP,SPM,Temperatur,Turbiditet,UV-Abs. 254nm,UV-Abs. 285nm,UV-Abs. 365nm,UV-Abs. 410nm,pH
2021-05-03 07:30:00+00:00,9.67,3.9,1.4,1.14,7.86,1.8,32.0,72.0,2.22,23.5,4.0,0.158,6.81,1.19,2.5,1.4,430.0,11.0,,2.2,1.65,0.2,0.6,0.043314,0.030572,0.008216,0.003598,7.47
2021-06-07 12:00:00+00:00,8.72,2.11,1.3,0.65,5.91,1.31,2.0,26.0,1.36,20.6,7.0,0.231,3.4,2.37,1.97,1.3,85.0,8.0,,9.2,8.2,5.3,3.0,0.04628,0.033062,0.009916,0.004686,7.44
2021-07-05 12:15:00+00:00,7.89,1.46,0.64,0.66,6.13,1.36,2.0,18.0,1.18,24.0,2.0,0.183,3.97,0.823,1.7,0.65,44.0,3.0,,3.0,2.71,13.5,0.73,0.019922,0.01393,0.00348,0.001396,7.52
2021-08-02 10:00:00+00:00,8.43,1.84,0.78,0.78,7.51,1.78,2.0,23.0,1.44,13.0,1.0,0.15,5.37,0.914,1.89,0.77,71.0,2.0,,2.2,1.05,10.2,0.64,0.021424,0.015786,0.00431,0.001946,7.53
2021-09-06 13:10:00+00:00,10.8,1.78,1.1,0.79,8.1,1.9,3.0,19.0,1.4,14.5,1.0,0.276,6.42,1.01,2.18,1.1,60.0,4.0,,1.7,0.88,8.3,0.61,0.03811,0.027796,0.007672,0.003426,7.7
2021-10-04 12:00:00+00:00,12.9,2.35,0.78,0.96,9.62,2.2,2.0,42.0,1.7,29.2,2.0,0.251,8.93,1.14,2.45,0.8,87.0,3.0,,2.0,4.73,7.8,0.78,0.023342,0.016458,0.004382,0.001886,7.79
2021-11-01 11:30:00+00:00,10.2,2.02,1.1,0.76,7.65,1.8,4.0,44.0,1.7,21.4,1.0,0.129,5.46,1.26,2.7,1.0,580.0,3.0,,1.6,1.52,1.1,0.4,0.036978,0.025646,0.00689,0.003056,7.65
2021-12-06 10:30:00+00:00,11.7,1.44,0.79,0.81,8.65,1.8,5.0,57.0,1.4,6.08,1.0,0.0592,6.72,1.39,3.23,0.82,110.0,1.0,,1.0,0.22,0.0,0.3,0.0250278,0.017186,0.004494,0.0018858,7.76
2022-01-11 10:00:00+00:00,9.05,2.29,1.1,0.89,7.4,1.67,73.0,70.0,1.72,195.0,3.0,1.045,5.97,1.19,2.69,1.4,480.0,6.0,,2.0,3.54,0.0,0.58,0.035672,0.02375,0.003696,0.001126,7.41
2022-02-07 11:00:00+00:00,9.55,2.42,1.3,0.87,8.14,1.68,22.0,71.0,1.84,162.0,1.0,1.028,5.91,1.26,2.64,1.3,290.0,15.0,,16.0,1.55,0.0,0.7,0.0382,0.02685,0.006706,0.003092,7.38
