sample_date,Cl,DOC,K,Konduktivitet,Mg,NH4-N,NO3-N,Na,N_Part,TRP,POC,SO4,Si,SiO2,TOC,TOTN,TP,TDP,PP,SPM,UV-Abs. 254nm,UV-Abs. 285nm,UV-Abs. 365nm,UV-Abs. 410nm,pH
2022-07-20,1.1928571428571428,0.9114285714285715,0.6657142857142857,6.157142857142857,1.35,2.0,16.857142857142858,1.1342857142857143,15.485714285714284,3.142857142857143,0.11285714285714286,4.038571428571428,1.0385714285714287,2.104285714285714,0.92,48.714285714285715,5.142857142857142,1.0,5.142857142857142,4.045714285714285,0.03239171428571429,0.02297485714285714,0.006695142857142857,0.003148285714285714,7.518571428571429
2022-07-21,1.2067857142857144,0.9271428571428573,0.6685714285714286,6.218214285714286,1.365,2.0,17.035714285714285,1.1464285714285714,15.253571428571428,2.9642857142857144,0.1117857142857143,4.090357142857143,1.0378571428571428,2.1164285714285715,0.935,49.32142857142857,4.964285714285714,1.0,4.964285714285714,3.811071428571428,0.03270107142857143,0.023179285714285715,0.006726214285714286,0.003145428571428571,7.527857142857143
2022-07-22,1.2207142857142856,0.9428571428571428,0.6714285714285714,6.279285714285714,1.3800000000000001,2.0,17.214285714285715,1.1585714285714286,15.02142857142857,2.7857142857142856,0.11071428571428572,4.142142857142857,1.0371428571428571,2.1285714285714286,0.9500000000000001,49.92857142857143,4.785714285714286,1.0,4.785714285714286,3.576428571428571,0.03301042857142857,0.023383714285714285,0.006757285714285714,0.0031425714285714286,7.537142857142857
2022-07-23,1.2346428571428572,0.9585714285714286,0.6742857142857143,6.340357142857142,1.395,2.0,17.392857142857142,1.1707142857142858,14.789285714285715,2.607142857142857,0.10964285714285715,4.193928571428572,1.0364285714285715,2.1407142857142856,0.9650000000000001,50.535714285714285,4.607142857142858,1.0,4.607142857142858,3.341785714285714,0.03331978571428571,0.023588142857142856,0.006788357142857143,0.0031397142857142856,7.546428571428572
2022-07-24,1.2485714285714287,0.9742857142857144,0.6771428571428572,6.401428571428571,1.4100000000000001,2.0,17.571428571428573,1.1828571428571428,14.557142857142857,2.4285714285714284,0.10857142857142858,4.2457142857142856,1.0357142857142858,2.152857142857143,0.9800000000000001,51.14285714285714,4.428571428571429,1.0,4.428571428571429,3.1071428571428568,0.03362914285714286,0.023792571428571427,0.006819428571428572,0.0031368571428571426,7.555714285714286
2022-07-25,1.2625000000000002,0.99,0.6799999999999999,6.4624999999999995,1.425,2.0,17.75,1.195,14.325,2.25,0.10750000000000001,4.2975,1.035,2.165,0.9950000000000001,51.75,4.25,1.0,4.25,2.8724999999999996,0.033938499999999996,0.023996999999999997,0.0068505,0.003134,7.5649999999999995
2022-07-26,1.2764285714285715,1.0057142857142858,0.6828571428571428,6.523571428571428,1.44,2.0,17.92857142857143,1.2071428571428573,14.092857142857142,2.071428571428571,0.10642857142857143,4.349285714285714,1.0342857142857143,2.177142857142857,1.01,52.35714285714286,4.071428571428571,1.0,4.071428571428571,2.6378571428571425,0.03424785714285714,0.02420142857142857,0.006881571428571429,0.003131142857142857,7.574285714285714
2022-07-27,1.290357142857143,1.0214285714285716,0.6857142857142857,6.584642857142857,1.455,2.0,18.107142857142858,1.2192857142857143,13.860714285714284,1.8928571428571423,0.10535714285714287,4.401071428571429,1.0335714285714286,2.189285714285714,1.0250000000000001,52.964285714285715,3.8928571428571423,1.0,3.8928571428571423,2.4032142857142853,0.03455721428571428,0.024405857142857142,0.006912642857142857,0.003128285714285714,7.583571428571428
2022-07-28,1.3042857142857143,1.0371428571428571,0.6885714285714285,6.645714285714286,1.47,2.0,18.285714285714285,1.2314285714285713,13.628571428571426,1.7142857142857144,0.10428571428571429,4.452857142857143,1.032857142857143,2.2014285714285715,1.04,53.57142857142857,3.7142857142857144,1.0,3.7142857142857144,2.168571428571428,0.03486657142857143,0.024610285714285713,0.006943714285714286,0.0031254285714285715,7.5928571428571425
2022-07-29,1.3182142857142858,1.052857142857143,0.6914285714285714,6.706785714285714,1.485,2.0,18.464285714285715,1.2435714285714285,13.39642857142857,1.5357142857142856,0.10321428571428572,4.504642857142857,1.0321428571428573,2.2135714285714285,1.0550000000000002,54.17857142857143,3.5357142857142856,1.0,3.5357142857142856,1.933928571428571,0.035175928571428566,0.024814714285714284,0.006974785714285714,0.0031225714285714285,7.602142857142857
